metric,comparison,density,in_primary_band,n_pairs,paired_mean_difference,ci95_low,ci95_high,positive_fraction
velocity_dispersion,ALF - fixed_r4,0.0044444444444444444,0,50,-0.156609317600014,-0.1734914247105191,-0.14021458154304703,0.0
velocity_dispersion,ALF - fixed_r4,0.007561436672967864,0,50,-0.12910695731128477,-0.1429178420257903,-0.11625801910163235,0.0
velocity_dispersion,ALF - fixed_r4,0.012345679012345678,1,50,-0.09368789682108086,-0.10593081736660213,-0.08361396350292145,0.0
velocity_dispersion,ALF - fixed_r4,0.02040816326530612,1,50,-0.050798068452300865,-0.05988938862347776,-0.04376922255155643,0.0
velocity_dispersion,ALF - fixed_r4,0.03305785123966942,1,50,-0.019580806809341145,-0.022233003130150135,-0.017042295137509562,0.0
velocity_dispersion,ALF - fixed_r4,0.04938271604938271,1,50,-0.006986508381260241,-0.007997592483444602,-0.006014581347864072,0.0
velocity_dispersion,ALF - fixed_r4,0.08163265306122448,1,50,-0.0013108725061767516,-0.0015719277744767383,-0.0010705306770736594,0.0
velocity_dispersion,ALF - fixed_r8_retained,0.0044444444444444444,0,50,0.0005234415439775506,-6.195828387313243e-05,0.0015457933108372073,0.06
velocity_dispersion,ALF - fixed_r8_retained,0.007561436672967864,0,50,9.026098835107094e-05,-0.00014534958873322086,0.0003382372537619328,0.22
velocity_dispersion,ALF - fixed_r8_retained,0.012345679012345678,1,50,0.0005820014586007794,9.830124894335696e-05,0.0011648905990204695,0.54
velocity_dispersion,ALF - fixed_r8_retained,0.02040816326530612,1,50,0.00046645539148618305,0.00020799600707616667,0.000899508774714376,0.9
velocity_dispersion,ALF - fixed_r8_retained,0.03305785123966942,1,50,0.00022761395290531929,0.0001572517655263741,0.0003150510258271394,0.94
velocity_dispersion,ALF - fixed_r8_retained,0.04938271604938271,1,50,0.00021955333186266426,0.0001629282770642661,0.0002890333935524598,1.0
velocity_dispersion,ALF - fixed_r8_retained,0.08163265306122448,1,50,0.00019387430608047197,0.0001615518812327108,0.00023023656365715977,1.0
velocity_dispersion,ALF - knn_k6,0.0044444444444444444,0,50,0.007511798710895082,0.002858852679201226,0.012243737771871556,0.82
velocity_dispersion,ALF - knn_k6,0.007561436672967864,0,50,0.004375114624624262,0.0026546447848756947,0.0065877313050467165,0.86
velocity_dispersion,ALF - knn_k6,0.012345679012345678,1,50,0.0015228490936787292,0.0009432301979739055,0.002193174135121085,0.9
velocity_dispersion,ALF - knn_k6,0.02040816326530612,1,50,0.0006871270238776328,0.0003955114440233285,0.0011392201705834831,0.96
velocity_dispersion,ALF - knn_k6,0.03305785123966942,1,50,0.0001820172413921789,0.00011208524997369786,0.0002571717957825485,0.78
velocity_dispersion,ALF - knn_k6,0.04938271604938271,1,50,2.2407862334603922e-05,-1.2501687812697524e-05,6.55786680739207e-05,0.46
velocity_dispersion,ALF - knn_k6,0.08163265306122448,1,50,-4.590372223435728e-05,-6.685005772314679e-05,-2.5974289638205058e-05,0.22
velocity_dispersion,ALF - crdf,0.0044444444444444444,0,50,-0.007166651735660413,-0.017459873290798487,-0.0005006066616786154,0.38
velocity_dispersion,ALF - crdf,0.007561436672967864,0,50,-0.005428801131287805,-0.008896070745696557,-0.0024660179981745634,0.22
velocity_dispersion,ALF - crdf,0.012345679012345678,1,50,-0.0026168024845773085,-0.0034313298756418905,-0.001896680128521774,0.08
