metric,method,density,half_width,n_seeds,mean,ci95_low,ci95_high,in_primary_band
velocity_dispersion,crmf,0.08163265306122448,,50,0.0038397315074546485,0.0036133420959884328,0.004088158206132041,1
velocity_dispersion,fixed_r4,0.0044444444444444444,,50,0.27190658917297106,0.25084242242354815,0.29417555283713703,0
velocity_dispersion,fixed_r4,0.007561436672967864,,50,0.17245062704212416,0.15857838867076016,0.187093828915336,0
velocity_dispersion,fixed_r4,0.012345679012345678,,50,0.10848993911876366,0.0981447477216302,0.11982932069855304,1
velocity_dispersion,fixed_r4,0.02040816326530612,,50,0.05675169827432061,0.04976612061916859,0.06601712791292111,1
velocity_dispersion,fixed_r4,0.03305785123966942,,50,0.023783377705059797,0.021086900033854914,0.026684869102710267,1
velocity_dispersion,fixed_r4,0.04938271604938271,,50,0.010921292547763592,0.009876105301819874,0.012059741179218852,1
velocity_dispersion,fixed_r4,0.08163265306122448,,50,0.005152015583791088,0.004747304563628492,0.005563935034357314,1
velocity_dispersion,fixed_r8,0.0044444444444444444,,50,0.11478957740506512,0.1043347230378517,0.12677860649525713,0
velocity_dispersion,fixed_r8,0.007561436672967864,,50,0.043360213184789255,0.037505769467528614,0.04901680815082982,0
velocity_dispersion,fixed_r8,0.012345679012345678,,50,0.014941823524523432,0.0131630355713974,0.01699598438725967,1
velocity_dispersion,fixed_r8,0.02040816326530612,,50,0.005574365209454346,0.005087436309043382,0.006092082458472133,1
velocity_dispersion,fixed_r8,0.03305785123966942,,50,0.003985771102751114,0.0037457827235421242,0.004248367132368338,1
velocity_dispersion,fixed_r8,0.04938271604938271,,50,0.0037194736525731024,0.0034834407281227864,0.003951022251859079,1
velocity_dispersion,fixed_r8,0.08163265306122448,,50,0.0036296617263373893,0.003395758912470876,0.0038550904821673298,1
velocity_dispersion,fixed_r8_retained,0.0044444444444444444,,50,0.11477383002897946,0.10416034349713595,0.12688351430108627,0
velocity_dispersion,fixed_r8_retained,0.007561436672967864,,50,0.04325340874248833,0.03746251653544224,0.04929653114505864,0
velocity_dispersion,fixed_r8_retained,0.012345679012345678,,50,0.014220040839082022,0.012487448127366118,0.01599483839877303,1
velocity_dispersion,fixed_r8_retained,0.02040816326530612,,50,0.005487174430533567,0.0050349453262244406,0.006009351378677047,1
velocity_dispersion,fixed_r8_retained,0.03305785123966942,,50,0.003974956942813329,0.003748196166807783,0.004224711273717582,1
velocity_dispersion,fixed_r8_retained,0.04938271604938271,,50,0.003715230834640686,0.0034772190162744247,0.003950839301692714,1
velocity_dispersion,fixed_r8_retained,0.08163265306122448,,50,0.0036472687715338637,0.0034179482841084265,0.0038749768758134804,1
velocity_dispersion,knn_k6,0.0044444444444444444,,50,0.10778547286206193,0.09599010151147958,0.1221342571159682,0
velocity_dispersion,knn_k6,0.007561436672967864,,50,0.038968555106215136,0.03429381626862505,0.04386449077598585,0
velocity_dispersion,knn_k6,0.012345679012345678,,50,0.013279193204004072,0.011591107043909716,0.015160679912255046,1
velocity_dispersion,knn_k6,0.02040816326530612,,50,0.005266502798142117,0.004806908689613358,0.005736166832154151,1
velocity_dispersion,knn_k6,0.03305785123966942,,50,0.004020553654326469,0.003773148510992988,0.004274806404712422,1
velocity_dispersion,knn_k6,0.04938271604938271,,50,0.003912376304168746,0.0036633688360923856,0.0041596223714542736,1
velocity_dispersion,knn_k6,0.08163265306122448,,50,0.003887046799848693,0.0036257258389081858,0.004147483225103329,1
