bootstrap_unit,ci95_high,ci95_low,density,half_width,mean,method,method_label,metric,n_bootstrap,n_seeds
shared evaluation seed,0.00023125,6.25e-05,0.02040816326530612,14.0,0.0001375,alf,ALF,radius_oscillation_frequency,2000,50
shared evaluation seed,0.0075,0.0,0.012345679012345678,18.0,0.0025,alf,ALF,final_fragmentation,2000,50
shared evaluation seed,0.1113994092039801,0.05750481965174129,0.012345679012345678,18.0,0.08361940298507463,alf,ALF,mean_fragmentation,2000,50
shared evaluation seed,0.9975,0.95,0.012345679012345678,18.0,0.9775,alf,ALF,final_largest_scc_fraction,2000,50
shared evaluation seed,0.9289521144278606,0.8653837064676617,0.012345679012345678,18.0,0.8982338308457711,alf,ALF,mean_largest_scc_fraction,2000,50
shared evaluation seed,2.9810082400497513,2.76189598880597,0.012345679012345678,18.0,2.8719278606965175,alf,ALF,mean_degree,2000,50
shared evaluation seed,7.890941630457569,7.816522866708662,0.012345679012345678,18.0,7.8533705612769475,alf,ALF,mean_radius,2000,50
shared evaluation seed,195.89271959427188,192.57383516003458,0.012345679012345678,18.0,194.29222266494395,alf,ALF,mean_interaction_area,2000,50
shared evaluation seed,0.0009875,0.00064375,0.012345679012345678,18.0,0.0008125000000000001,alf,ALF,neighbor_loss_rate,2000,50
shared evaluation seed,0.9303226918511757,0.8756340101261572,0.012345679012345678,18.0,0.9043289806630577,alf,ALF,polar_order,2000,50
shared evaluation seed,0.016818240738032092,0.012952507843303979,0.012345679012345678,18.0,0.0148020422976828,alf,ALF,velocity_dispersion,2000,50
shared evaluation seed,0.020561589494077957,0.015186996294814513,0.012345679012345678,18.0,0.017622811263449372,alf,ALF,control_energy,2000,50
shared evaluation seed,0.0003758610939133058,0.0001466563606419719,0.012345679012345678,18.0,0.00025611092715950535,alf,ALF,radius_temporal_variation,2000,50
shared evaluation seed,0.00040397508002231944,0.00015528680693403422,0.012345679012345678,18.0,0.0002741851990267052,alf,ALF,radius_command_temporal_variation,2000,50
shared evaluation seed,0.0,0.0,0.012345679012345678,18.0,0.0,alf,ALF,radius_min_saturation_fraction,2000,50
