ci95_high,ci95_low,comparison,estimand,median_difference,method,metric,n_pairs,n_strata,paired_mean_difference,scenario,sign_consistency,standardized_effect
0.027777777777777776,-0.049999999999999996,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,failure_indicator,180,6,-0.011111111111111112,message_dropout_0p10,0.9722222222222222,-0.04295323522633642
3.555694444444444,-1.1225000000000003,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,recovery_steps_after_release,180,6,1.2555555555555555,message_dropout_0p10,0.9666666666666667,0.07577657216415362
0.21704348958333333,0.1773763454861111,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.1615625,fixed_r4,mean_fragmentation,180,6,0.19743229166666665,message_dropout_0p10,0.9666666666666667,1.0841435414769043
-0.13906484375000003,-0.17705269097222223,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.10203125000000002,fixed_r4,mean_largest_scc_fraction,180,6,-0.1572621527777778,message_dropout_0p10,0.8333333333333334,-0.8145649833327859
0.00040050835692538535,0.00019189285854006907,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.00011580021328575147,fixed_r4,mean_contact_break_rate,180,6,0.0002953724760474888,message_dropout_0p10,0.5944444444444444,0.40301804808283037
-0.0016877114019481208,-0.001982361824956898,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.001715554992399984,fixed_r4,radius_temporal_variation,180,6,-0.0018374441350622682,message_dropout_0p10,1.0,-1.346741822661076
0.0010578112479875477,0.0008568306868159629,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0004786743307718688,fixed_r4,mean_control_effort_proxy,180,6,0.0009604481446586908,message_dropout_0p10,0.8055555555555556,0.8711229464902174
0.3666666666666667,0.2333333333333333,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,fixed_r4,failure_indicator,180,6,0.3,message_dropout_0p10,0.9777777777777777,0.5930823930035605
19.195,11.165972222222221,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,fixed_r4,recovery_steps_after_release,180,6,15.15,message_dropout_0p10,0.9277777777777778,0.46975512544256237
0.0027921874999999965,-0.014043619791666666,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,mean_fragmentation,180,6,-0.005279513888888889,count_undercount_one,0.8666666666666667,-0.08997788032495282
0.011171831597222211,-0.007787543402777779,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,mean_largest_scc_fraction,180,6,0.002027777777777778,count_undercount_one,0.8277777777777777,0.028940207061222172
-0.0002529523759412509,-0.0003361324226705612,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.00023186332226875252,crmf,mean_contact_break_rate,180,6,-0.0002926504389819152,count_undercount_one,0.9111111111111111,-0.8535869038826993
-0.0011967935021355864,-0.0017176182331782159,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.0013262633418704255,crmf,radius_temporal_variation,180,6,-0.0014610312958764492,count_undercount_one,0.7944444444444444,-0.7501394763566025
2.699349242286556e-06,8.054656137119158e-08,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,3.117344386147601e-07,crmf,mean_control_effort_proxy,180,6,1.3944694199986136e-06,count_undercount_one,0.6333333333333333,0.1502204664467583
0.005555555555555556,-0.07222222222222223,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,failure_indicator,180,6,-0.03333333333333333,count_undercount_one,0.9833333333333333,-0.12982677144489166
0.6166666666666666,-3.6949999999999994,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,recovery_steps_after_release,180,6,-1.5611111111111111,count_undercount_one,0.9666666666666667,-0.10200150022895281
0.22183919270833333,0.1829495659722222,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.16843750000000002,fixed_r4,mean_fragmentation,180,6,0.20199479166666667,count_undercount_one,0.9666666666666667,1.148941500995524
-0.1482232204861111,-0.18767460937500002,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.10796875,fixed_r4,mean_largest_scc_fraction,180,6,-0.16748958333333333,count_undercount_one,0.8666666666666667,-0.8924741801528072
0.00016506183241945114,-5.0351271388899925e-05,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-7.403072948315027e-05,fixed_r4,mean_contact_break_rate,180,6,5.403784705713198e-05,count_undercount_one,0.5777777777777777,0.07156544085043423
-0.005418556992702333,-0.005975333238642986,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.005791952197110489,fixed_r4,radius_temporal_variation,180,6,-0.005698706891008074,count_undercount_one,1.0,-1.7273044697643445
0.001023141532163269,0.0008302606134875706,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0004769340366333496,fixed_r4,mean_control_effort_proxy,180,6,0.0009257666485759764,count_undercount_one,0.8,0.8708320279787624
0.37777777777777777,0.2388888888888889,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,fixed_r4,failure_indicator,180,6,0.3055555555555555,count_undercount_one,0.9722222222222222,0.5888683470822023
21.05569444444444,13.004444444444443,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,fixed_r4,recovery_steps_after_release,180,6,17.038888888888888,count_undercount_one,0.9444444444444444,0.546458661101084
0.003854253472222221,-0.014669618055555556,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,mean_fragmentation,180,6,-0.00509375,count_overcount_one,0.8333333333333334,-0.08098230592422649
0.012282986111111102,-0.008137456597222223,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,mean_largest_scc_fraction,180,6,0.002237847222222224,count_overcount_one,0.7944444444444444,0.030043199939842762
-0.00042738643625647157,-0.0005244175387077937,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.00042965424330048584,crmf,mean_contact_break_rate,180,6,-0.00047619374677471235,count_overcount_one,0.8277777777777777,-0.8624066946517178
-0.0031459816899122167,-0.00370277448235205,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,-0.003633548662158233,crmf,radius_temporal_variation,180,6,-0.0034265489207246955,count_overcount_one,0.8333333333333334,-1.0127051073044804
2.50445889274389e-06,-1.7947560631767146e-07,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,3.481858619038339e-07,crmf,mean_control_effort_proxy,180,6,1.1577282299153554e-06,count_overcount_one,0.5888888888888889,0.12286000278233224
0.016666666666666666,-0.06666666666666667,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,failure_indicator,180,6,-0.022222222222222223,count_overcount_one,0.9666666666666667,-0.07453559924999299
3.4280555555555536,-1.2444444444444445,crmf - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.0,crmf,recovery_steps_after_release,180,6,1.05,count_overcount_one,0.9111111111111111,0.06461445335034721
0.2067626736111111,0.16788945312499998,fixed_r4 - alf,equal-weighted geometry-density cell means; paired shared evaluation seed,0.14656249999999998,fixed_r4,mean_fragmentation,180,6,0.18698958333333335,count_overcount_one,0.9611111111111111,1.048066197996195
