agent_collision_rate,components,contact_break_rate,control_energy,density,distance_evaluations_per_step,edge_persistence,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,fragmentation,half_width,largest_component_fraction,mean_abs_radius_command_update,mean_abs_radius_update,mean_agent_degree_temporal_variance,mean_agent_radius_temporal_std,mean_degree,mean_degree_error,mean_degree_error_sq,mean_edge_count,mean_fragmentation,mean_interaction_area,mean_interaction_out_degree,mean_largest_component_fraction,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_probe_degree,mean_radius,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,mechanism,method,minimum_agent_distance,minimum_obstacle_clearance,n_agents,neighbor_loss_rate,noise_std,obstacle_collision_rate,obstacle_proximity_rate,parameter,polar_order,radius_command_temporal_variation,radius_max_saturation_fraction,radius_min_saturation_fraction,radius_oscillation_frequency,radius_sign_reversal_count,radius_sign_reversal_rate,radius_temporal_variation,rms_radius_update,runtime_s,seed,sorting_operations_per_step,steps,velocity_dispersion,visible_neighbor_count_mean
0.0,1.0,0.0075,0.010109425968862953,0.08163265306122448,240,0.9990352147852148,115.0,0.0,1.0,7.1875,7.1875,3.0,4.0,1.0,0.4791666666666667,1.0,4.717319169512075,0.0,7.0,1.0,0.002905198836577464,0.002905198834446351,0.3219938862899433,0.0923382598224775,7.231965174129353,2.251865671641791,6.7643034825870645,115.71144278606965,0.0,91.15796209199208,7.231965174129353,1.0,1.0,3.044776119402985,4.064676616915423,1.0,0.4821310116086246,3.748134328358209,5.297947624885555,464.26368861197284,29.016480538248302,1.0,4.760437030299038,alf,alf,0.5239371729294285,14.0,16,0.0071875,0.0,0.0,0.0,0.0,0.9904544325797047,0.002905198836577464,0.1890547263681592,0.0,0.0,0,0.0,0.002905198834446351,0.013809667102544514,1.2819424999979674,20010,0,200,0.004775284743818956,14.125621890547263
0.0,1.0,0.0025,0.00693010698553264,0.08163265306122448,240,0.99962683757215,115.0,0.0,1.0,7.1875,7.1875,2.0,4.0,1.0,0.4791666666666667,1.0,4.300509606860717,0.0,7.0,1.0,0.0016423935899211994,0.001427642079955841,0.06569453726392911,0.04936841307271064,7.1570273631840795,1.873134328358209,5.860074626865671,114.51243781094527,0.0,81.6304728340486,7.1570273631840795,1.0,1.0,2.0,4.0,1.0,0.47713515754560626,4.506218905472637,4.958886488392174,415.7405842709604,25.983786516935027,1.0,4.272581322897931,alf,alf,0.2972628641132178,14.0,16,0.0015625,0.0,0.0,0.0,0.0,0.9865613482814944,0.0016423935899211994,0.125,0.0,0.0003125,1,0.0007215007215007215,0.001427642079955841,0.0077489150599877425,1.1197192999970866,20011,0,200,0.0027660218506071295,14.377487562189055
0.0,1.0,0.0021875,0.010500557345446072,0.08163265306122448,240,0.9995933779761904,117.0,0.0,1.0,7.3125,7.3125,4.0,5.0,1.0,0.4875,1.0,4.347882219988236,0.0,7.0,1.0,0.002587057841032897,0.002296133387546698,0.046530407663176655,0.07086589724368894,7.289490049751244,2.746268656716418,8.112562189054726,116.6318407960199,0.0,96.46605168625486,7.289490049751244,1.0,1.0,3.9950248756218905,4.985074626865671,1.0,0.48596600331674783,3.253731343283582,5.506127881629094,491.29756692562324,30.706097932851453,1.0,4.343303613036484,alf,alf,0.42392315240194817,14.0,16,0.0021875,0.0,0.0,0.0,0.0,0.9929864651417388,0.002587057841032897,0.125,0.0,0.0003125,1,0.0005583472920156337,0.002296133387546698,0.01113584807603461,1.305317999998806,20012,0,200,0.0042748170562769815,13.374378109452737
0.0,1.0,0.0028125,0.007467069347949253,0.08163265306122448,240,0.9996584595959596,114.0,0.0,1.0,7.125,7.125,2.0,5.0,1.0,0.475,1.0,3.4415915339987557,0.0,7.0,1.0,0.0014635554801926281,0.00117263102617423,0.08082720724734536,0.042674911986677,7.083955223880597,2.2661691542288556,6.967039800995025,113.34328358208955,0.0,88.62208363613303,7.083955223880597,1.0,1.0,2.0,4.850746268656716,1.0,0.47226368159203874,3.7338308457711444,5.229220400795747,451.34856568940614,28.209285355587884,1.0,3.4316180783972894,alf,alf,0.0849795711341697,14.0,16,0.0028125,0.0,0.0,0.0,0.0,0.9844282489556984,0.0014635554801926281,0.25031094527363185,0.0,0.0003125,1,0.000855431993156544,0.00117263102617423,0.008252376750025587,1.109933200001251,20013,0,200,0.0035417224130083855,13.9863184079602
0.0,1.0,0.003125,0.007760455322506249,0.08163265306122448,240,0.9995391865079365,122.0,0.0,1.0,7.625,7.625,4.0,4.0,1.0,0.5083333333333333,1.0,3.333981646388658,0.0,7.0,1.0,0.0029858479861825217,0.0020508783195326533,0.06544083067250811,0.0642912731531368,7.60478855721393,1.8737562189054726,4.871268656716418,121.67661691542288,0.0,78.04763899889379,7.60478855721393,1.0,1.0,4.0,4.0,1.0,0.5069859038142642,4.251865671641791,4.922524001878778,397.49336138642343,24.843335086651464,1.0,3.3214933272123988,alf,alf,0.7250884100776287,14.0,16,0.0025,0.0,0.0,0.0,0.0,0.985787717494279,0.0029858479861825217,0.0625,0.0,0.00125,4,0.0016764459346186086,0.0020508783195326533,0.008810111837444188,1.1638767999975244,20014,0,200,0.003863834711642008,14.871890547263682
0.0,1.0,0.0034375,0.010793816700905283,0.08163265306122448,240,0.999434760551948,129.0,0.0,1.0,8.0625,8.0625,5.0,4.0,1.0,0.5375,1.0,5.008405109198456,0.0,7.0,1.0,0.0029786330810288287,0.0020821169209756223,0.10332974431325957,0.05749338597078159,8.059390547263682,2.9975124378109452,10.111940298507463,128.9502487562189,0.0,105.7795275969037,8.059390547263682,1.0,1.0,5.0,4.0,1.0,0.5372927031509104,3.0024875621890548,5.740921165440399,538.730710239129,33.670669389945566,1.0,4.992290806858128,alf,alf,0.8543956130109439,14.0,16,0.0028125,0.0,0.0,0.0,0.0,0.9880140731142165,0.0029786330810288287,0.18874378109452736,0.0,0.000625,2,0.0012578616352201257,0.0020821169209756223,0.010303930315027835,1.357072300001164,20015,0,200,0.005070657341630201,13.378731343283581
0.0,1.0,0.003125,0.008504960891526992,0.08163265306122448,240,0.9995261656746033,114.0,0.0,1.0,7.125,7.125,4.0,3.0,1.0,0.475,1.0,3.2562312595764085,0.0,7.0,1.0,0.0023458235605322213,0.0023458235588572868,0.1877552535828321,0.07294329010419962,7.117848258706467,2.0,5.751865671641791,113.88557213930348,0.0,81.56056724230548,7.117848258706467,1.0,1.0,3.9651741293532337,3.328358208955224,1.0,0.4745232172470966,4.373756218905473,4.984974962199143,415.38455801573866,25.961534875983666,1.0,3.2683083774615977,alf,alf,0.22269357216420682,14.0,16,0.003125,0.0,0.0,0.0,0.0,0.9934922136649922,0.0023458235605322213,0.06281094527363185,0.0,0.0,0,0.0,0.0023458235588572868,0.01079811978093687,1.1358577999999397,20016,0,200,0.0037959402281135817,14.115671641791044
0.0,1.0,0.00625,0.009561304372238842,0.08163265306122448,240,0.9991276718073593,109.0,0.0,1.0,6.8125,6.8125,4.0,4.0,1.0,0.45416666666666666,1.0,3.564327772878591,0.0,7.0,1.0,0.0042573141987465,0.0032161151570911056,0.1728886661221257,0.09915253248135872,6.847325870646766,2.376865671641791,6.883084577114428,109.55721393034825,0.0,90.31490329323658,6.847325870646766,1.0,1.0,4.029850746268656,4.0,1.0,0.45648839137645036,3.7468905472636815,5.288501178850617,459.97002540752317,28.748126587970198,1.0,3.5512020970019567,alf,alf,0.5606844572171258,14.0,16,0.0053125,0.0,0.0,0.0,0.0,0.9914572961520393,0.0042573141987465,0.06343283582089553,0.0,0.000625,2,0.0009140767824497258,0.0032161151570911056,0.015182818614240957,1.1077745999937179,20017,0,200,0.004387818141380232,14.110696517412935
0.0,1.0,0.005,0.010398382325444946,0.08163265306122448,240,0.999410928481241,113.0,0.0,1.0,7.0625,7.0625,4.0,6.0,1.0,0.4708333333333333,1.0,3.5884982672614942,0.0,7.0,1.0,0.0017067026919775623,0.0017067026907145318,0.07504764733546199,0.05443012288664243,7.087375621890548,2.2531094527363185,6.888681592039801,113.39800995024876,0.0,91.41745004566869,7.087375621890548,1.0,1.0,4.114427860696518,5.975124378109452,1.0,0.47249170812603547,3.7475124378109452,5.304743796979065,465.58524990798674,29.09907811924917,1.0,3.5906120177242364,alf,alf,0.8033271710895823,14.0,16,0.004375,0.0,0.0,0.0,0.0,0.9914008824641403,0.0017067026919775623,0.25031094527363185,0.0,0.0,0,0.0,0.0017067026907145318,0.009571120013709801,1.2853000000031898,20018,0,200,0.004370842399240172,13.619402985074627
0.0,1.0,0.0015625,0.008412907401940502,0.08163265306122448,240,0.9997938988095239,119.0,0.0,1.0,7.4375,7.4375,5.0,5.0,1.0,0.49583333333333335,1.0,3.224990690018156,0.0,7.0,1.0,0.00362130741731079,0.003359475407837616,0.05151481398975273,0.11312470710831345,7.414800995024875,2.245646766169154,6.229477611940299,118.636815920398,0.0,86.9682238184935,7.414800995024875,1.0,1.0,4.990049751243781,5.0,1.0,0.4943200663349921,3.754353233830846,5.203763864046551,442.9255268043376,27.6828454252711,1.0,3.230043810354228,alf,alf,0.6998335017895871,14.0,16,0.0009375,0.0,0.0,0.0,0.0,0.987150008559899,0.00362130741731079,0.06374378109452736,0.0,0.0003125,1,0.0004192872117400419,0.003359475407837616,0.013928028378097273,1.2113544000021648,20019,0,200,0.004061239787067484,13.123134328358208
