experiment,method,density,metric,mean,ci95_low,ci95_high,bootstrap_scheme,n_top_level,n_episodes,n_bootstrap
canonical_analytical_density,fixed_r4,0.0204081632653,final_fragmentation,0.11875,0.07621875,0.16375,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0204081632653,mean_fragmentation,0.293345771144,0.256479477612,0.328700715174,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0204081632653,polar_order,0.770321449346,0.729726727257,0.807184606075,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0204081632653,mean_degree,2.31226368159,2.20013681592,2.42780876866,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0204081632653,mean_probe_degree,2.31226368159,2.19961287313,2.43138588308,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0204081632653,mean_radius,4,4,4,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0204081632653,mean_radius_sq,16,16,16,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0204081632653,control_energy,0.0764485519364,0.0623475264447,0.0935468148126,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0204081632653,final_largest_scc_fraction,0.88125,0.83625,0.925,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0330578512397,final_fragmentation,0.03375,0.0075,0.0675,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0330578512397,mean_fragmentation,0.154129353234,0.124714863184,0.185566697761,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0330578512397,polar_order,0.860828081671,0.815092257221,0.896374354672,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0330578512397,mean_degree,2.74689054726,2.63675124378,2.86234390547,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0330578512397,mean_probe_degree,2.74689054726,2.63376057214,2.86314738806,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0330578512397,mean_radius,4,4,4,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0330578512397,mean_radius_sq,16,16,16,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0330578512397,control_energy,0.0333361990409,0.0272119664868,0.0407939486937,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0330578512397,final_largest_scc_fraction,0.96625,0.935,0.9925,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0493827160494,final_fragmentation,0,0,0,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0493827160494,mean_fragmentation,0.0539987562189,0.0384379664179,0.0712513992537,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0493827160494,polar_order,0.935255760546,0.913108955613,0.952579382345,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0493827160494,mean_degree,3.27104477612,3.13816728856,3.41169620647,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0493827160494,mean_probe_degree,3.27104477612,3.12952300995,3.40927891791,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0493827160494,mean_radius,4,4,4,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0493827160494,mean_radius_sq,16,16,16,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0493827160494,control_energy,0.0159349022399,0.0136556915626,0.0189005429757,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0493827160494,final_largest_scc_fraction,1,1,1,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0816326530612,final_fragmentation,0,0,0,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0816326530612,mean_fragmentation,0.00115049751244,0.000596859452736,0.00181592039801,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0816326530612,polar_order,0.979414083591,0.974905860451,0.983382252614,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0816326530612,mean_degree,4.35626865672,4.18987624378,4.51882245025,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0816326530612,mean_probe_degree,4.35626865672,4.17770273632,4.52400652985,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0816326530612,mean_radius,4,4,4,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0816326530612,mean_radius_sq,16,16,16,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0816326530612,control_energy,0.00971954968349,0.00927414617074,0.010143641719,episode,50,50,2000
canonical_analytical_density,fixed_r4,0.0816326530612,final_largest_scc_fraction,1,1,1,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00444444444444,final_fragmentation,0.51625,0.47246875,0.55875,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00444444444444,mean_fragmentation,0.658899253731,0.636322294776,0.680112251244,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00444444444444,polar_order,0.442049815718,0.394294457915,0.492121378267,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00444444444444,mean_degree,1.23905472637,1.1864113806,1.29711691542,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00444444444444,mean_probe_degree,1.23905472637,1.18496144279,1.29225777363,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00444444444444,mean_radius,5,5,5,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00444444444444,mean_radius_sq,25,25,25,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00444444444444,control_energy,0.253751596777,0.22299765239,0.285087148446,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00444444444444,final_largest_scc_fraction,0.48375,0.4425,0.52875,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00756143667297,final_fragmentation,0.29875,0.24496875,0.35503125,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00756143667297,mean_fragmentation,0.501050995025,0.469754197761,0.531087375622,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00756143667297,polar_order,0.55480788363,0.503224398339,0.60214639226,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00756143667297,mean_degree,1.65104477612,1.60305597015,1.70143190299,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00756143667297,mean_probe_degree,1.65104477612,1.59960696517,1.70279850746,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00756143667297,mean_radius,5,5,5,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00756143667297,mean_radius_sq,25,25,25,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00756143667297,control_energy,0.170186647937,0.146089790321,0.194367262151,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.00756143667297,final_largest_scc_fraction,0.70125,0.64625,0.75753125,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0123456790123,final_fragmentation,0.15625,0.10625,0.21125,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0123456790123,mean_fragmentation,0.334054726368,0.29950233209,0.370702736318,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0123456790123,polar_order,0.70747619312,0.65877629095,0.755729498341,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0123456790123,mean_degree,2.07062189055,1.99639272388,2.14559390547,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0123456790123,mean_probe_degree,2.07062189055,1.99558924129,2.14483208955,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0123456790123,mean_radius,5,5,5,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0123456790123,mean_radius_sq,25,25,25,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0123456790123,control_energy,0.105064758117,0.0859476806624,0.128358489749,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0123456790123,final_largest_scc_fraction,0.84375,0.79125,0.89625,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0204081632653,final_fragmentation,0.07,0.03625,0.11,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0204081632653,mean_fragmentation,0.197549751244,0.162393190299,0.233240982587,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0204081632653,polar_order,0.83735337039,0.790366207523,0.87820379222,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0204081632653,mean_degree,2.53242537313,2.42680721393,2.64206778607,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0204081632653,mean_probe_degree,2.53242537313,2.42609172886,2.64292661692,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0204081632653,mean_radius,5,5,5,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0204081632653,mean_radius_sq,25,25,25,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0204081632653,control_energy,0.0390820555591,0.0319277560591,0.0466630469614,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0204081632653,final_largest_scc_fraction,0.93,0.89246875,0.965,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0330578512397,final_fragmentation,0.01625,0,0.04125,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0330578512397,mean_fragmentation,0.0567910447761,0.0399252176617,0.0771223569652,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0330578512397,polar_order,0.938014834376,0.921553817427,0.951905813926,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0330578512397,mean_degree,3.22733830846,3.09778358209,3.37381405473,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0330578512397,mean_probe_degree,3.22733830846,3.08800217662,3.37855534826,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0330578512397,mean_radius,5,5,5,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0330578512397,mean_radius_sq,25,25,25,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0330578512397,control_energy,0.0152062180383,0.0134303221897,0.0173107922073,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0330578512397,final_largest_scc_fraction,0.98375,0.95875,1,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0493827160494,final_fragmentation,0,0,0,episode,50,50,2000
canonical_analytical_density,fixed_r5,0.0493827160494,mean_fragmentation,0.00254975124378,0.00123740671642,0.00422947761194,episode,50,50,2000
