ci95_high,ci95_low,density,mean_radius,method,method_label,n_bootstrap,n_seeds,step
7.891033460593517,7.816184662695258,0.012345679012345678,7.856279275104245,alf,ALF,2000,50,33
7.892307378868302,7.817120177370934,0.012345679012345678,7.856225544157529,alf,ALF,2000,50,34
7.89363394804845,7.816103287544296,0.012345679012345678,7.8561771863054854,alf,ALF,2000,50,35
7.890988721022195,7.816072624891941,0.012345679012345678,7.856133664238647,alf,ALF,2000,50,36
7.89176774200968,7.815881388405404,0.012345679012345678,7.855801601159678,alf,ALF,2000,50,37
7.890623781012914,7.817067544710372,0.012345679012345678,7.855502744388607,alf,ALF,2000,50,38
7.892436618178876,7.815824032494321,0.012345679012345678,7.855233773294642,alf,ALF,2000,50,39
7.892624682214187,7.814926998806328,0.012345679012345678,7.854991699310074,alf,ALF,2000,50,40
7.8904077770552385,7.8146926729355615,0.012345679012345678,7.854773832723963,alf,ALF,2000,50,41
7.892547820613695,7.812929170840908,0.012345679012345678,7.854577752796462,alf,ALF,2000,50,42
7.89103730995011,7.8160738879678755,0.012345679012345678,7.854401280861712,alf,ALF,2000,50,43
7.889627590846846,7.815475855003896,0.012345679012345678,7.854242456120437,alf,ALF,2000,50,44
7.89123376780785,7.813501326090496,0.012345679012345678,7.8540995138532885,alf,ALF,2000,50,45
7.890396579771655,7.815452907980101,0.012345679012345678,7.853970865812856,alf,ALF,2000,50,46
7.889907119221456,7.814909569618534,0.012345679012345678,7.853855082576468,alf,ALF,2000,50,47
7.890049650451737,7.812223815596145,0.012345679012345678,7.853616903067501,alf,ALF,2000,50,48
7.892114330084748,7.814472980468922,0.012345679012345678,7.853402541509431,alf,ALF,2000,50,49
7.889434240667141,7.813147647602624,0.012345679012345678,7.8532096161071685,alf,ALF,2000,50,50
7.891125585010833,7.813031723588282,0.012345679012345678,7.853035983245133,alf,ALF,2000,50,51
7.8886428103735176,7.814349918411774,0.012345679012345678,7.852879713669299,alf,ALF,2000,50,52
7.888701015741207,7.813842140772287,0.012345679012345678,7.85273907105105,alf,ALF,2000,50,53
7.887500963603265,7.811309676893334,0.012345679012345678,7.852612492694626,alf,ALF,2000,50,54
7.889879016094862,7.812277217164736,0.012345679012345678,7.852498572173844,alf,ALF,2000,50,55
7.889882659577856,7.811316175280127,0.012345679012345678,7.8523960437051405,alf,ALF,2000,50,56
7.88866903625467,7.812097794767808,0.012345679012345678,7.852303768083306,alf,ALF,2000,50,57
7.8894187363187935,7.810442992599153,0.012345679012345678,7.852220720023656,alf,ALF,2000,50,58
7.889835286621403,7.812256829342964,0.012345679012345678,7.852145976769971,alf,ALF,2000,50,59
7.889894141726204,7.809406230682846,0.012345679012345678,7.852078707841655,alf,ALF,2000,50,60
7.888174925509792,7.808857931923837,0.012345679012345678,7.85201816580617,alf,ALF,2000,50,61
7.888523034400604,7.80981974262375,0.012345679012345678,7.851963677974234,alf,ALF,2000,50,62
7.8879706376613035,7.811024146502767,0.012345679012345678,7.85191463892549,alf,ALF,2000,50,63
7.8883953066883326,7.812872385810536,0.012345679012345678,7.8518705037816225,alf,ALF,2000,50,64
7.889621431574935,7.8111686464798105,0.012345679012345678,7.85183078215214,alf,ALF,2000,50,65
