method,method_label,seed,n_density_cells,density_cell_mean_final_fragmentation,density_cell_mean_mean_fragmentation,density_cell_mean_final_largest_scc_fraction,density_cell_mean_mean_largest_scc_fraction,density_cell_mean_mean_degree,density_cell_mean_mean_radius,density_cell_mean_mean_interaction_area,density_cell_mean_radius_temporal_variation,density_cell_mean_radius_command_temporal_variation,density_cell_mean_neighbor_loss_rate,density_cell_mean_contact_break_rate,density_cell_mean_control_energy
crmf,CRMF,20002,5,0.0,0.008146766169154229,1.0,0.9918532338308458,5.423694029850746,6.892861381714366,155.02320258307037,0.0016750732086122887,0.005771691774678881,0.00225,0.0025,0.012447785856704474
crmf,CRMF,20003,5,0.0,0.0018034825870646767,1.0,0.9978233830845771,5.559390547263681,6.678401887218094,146.97802384854674,0.001953472564989332,0.005940191520749031,0.0025625,0.00275,0.010877962530400066
crmf,CRMF,20004,5,0.0,0.03395522388059702,1.0,0.966044776119403,5.0094527363184085,7.173059315424449,165.55154385734375,0.0026460854758742604,0.007744394129390994,0.0015,0.0015625,0.010282702282271712
crmf,CRMF,20005,5,0.0,0.0390547263681592,1.0,0.9609452736318408,5.326554726368159,6.774210142409183,150.1614032514925,0.002219150583871247,0.006673755310057053,0.0028125,0.0030625,0.01091023800792014
crmf,CRMF,20006,5,0.0,0.009577114427860696,1.0,0.9904228855721392,5.095211442786069,7.046682760965342,160.63552860306,0.0019123533462837568,0.005057906344546238,0.002,0.0021249999999999997,0.008329951065823115
crmf,CRMF,20007,5,0.0,0.0003109452736318408,1.0,0.9996890547263682,5.320087064676617,6.8963421810584835,154.6371260006129,0.002095432846068105,0.007366701961572556,0.0025,0.00275,0.00876644762425061
crmf,CRMF,20008,5,0.0,0.004788557213930349,0.9875,0.9828358208955225,5.423942786069651,6.54085401122362,141.98975961359204,0.0019111395828042572,0.006203745505619519,0.0021875,0.0023125,0.009830051206218767
crmf,CRMF,20009,5,0.0,0.010012437810945274,1.0,0.9899875621890548,5.20410447761194,7.065721711380564,161.17006853733247,0.0022693359739580942,0.007530468608058781,0.0018124999999999999,0.0018124999999999999,0.012209058941982917
crmf,CRMF,20010,5,0.0,0.004228855721393035,1.0,0.9957711442786069,5.398507462686568,7.135049467994617,164.1980759644593,0.0024772819395386487,0.021492631459579303,0.0026875,0.0029375,0.013181819541245912
crmf,CRMF,20011,5,0.0,0.00541044776119403,0.925,0.9216417910447762,5.326243781094528,6.599182810579977,144.06858922277024,0.0015657377915777922,0.00441512422782682,0.0010625,0.0013124999999999999,0.0073318710664724545
crmf,CRMF,20012,5,0.0,0.011380597014925373,1.0,0.9886194029850746,5.139241293532338,7.1076366796222485,163.12583381539622,0.0014678801313740384,0.005792955055365463,0.002625,0.002875,0.01821243208717894
crmf,CRMF,20013,5,0.0,0.049564676616915423,1.0,0.9479477611940299,4.91592039800995,7.204360239635854,166.812581735246,0.004905060568549906,0.023515006894713374,0.0019375,0.0021874999999999998,0.011824605880860997
crmf,CRMF,20014,5,0.0,0.005907960199004975,1.0,0.9919154228855721,5.267164179104478,6.697147367160146,146.9728790774879,0.0032114365626110678,0.009479560477124383,0.0020625,0.002125,0.008308381891311374
crmf,CRMF,20015,5,0.0,0.028358208955223885,1.0,0.9715174129353233,5.054975124378109,7.207375739691855,166.8950558953134,0.0016413256397726644,0.0058734478093407745,0.0030625,0.0032500000000000003,0.02123374310312003
crmf,CRMF,20016,5,0.0,0.0,1.0,1.0,5.311069651741294,6.704407599950729,147.33890094872885,0.001976814823706108,0.006861514429726037,0.0011875,0.00125,0.00927665810347281
crmf,CRMF,20017,5,0.025,0.0291044776119403,0.975,0.9708955223880598,5.149564676616915,7.178392672145056,165.69315578945475,0.002485406008642099,0.006993213430400698,0.0018124999999999999,0.002125,0.011341851792533098
crmf,CRMF,20018,5,0.0,0.001616915422885572,1.0,0.9983830845771144,5.159266169154229,6.919652442030037,155.28212746518835,0.0021012880249787736,0.005920007309294454,0.0016250000000000001,0.0017500000000000003,0.012701213732813469
crmf,CRMF,20019,5,0.0,0.005161691542288557,1.0,0.9944651741293532,5.357151741293532,6.921503416481985,155.34719830744052,0.0026072530074874554,0.007618960948408263,0.002125,0.0023125,0.00983855928289134
crmf,CRMF,20020,5,0.0,0.00945273631840796,1.0,0.9905472636815921,5.301990049751244,7.020664080501315,159.2428138107835,0.002070537078255419,0.008827415461748065,0.0029375,0.0032500000000000003,0.011561227208233653
crmf,CRMF,20021,5,0.0,0.005845771144278607,1.0,0.9941542288557214,5.5750621890547265,6.813942606379429,151.84513045518366,0.0021024876044181285,0.006670418304272334,0.00275,0.0028125,0.009451972662120828
crmf,CRMF,20022,5,0.0,0.013557213930348259,1.0,0.9864427860696517,5.045708955223881,7.228772267104629,167.8858855666341,0.0012526505690358247,0.005304897117711047,0.0020625,0.002375,0.009736621386378605
crmf,CRMF,20023,5,0.0,0.00043532338308457713,1.0,0.9995646766169154,5.652425373134329,6.7522446765769555,149.18753289753562,0.002585715695981297,0.007368564310008098,0.002125,0.00225,0.011197981222682243
crmf,CRMF,20024,5,0.0,0.03955223880597015,1.0,0.9582089552238806,4.977549751243781,7.119642665745415,163.30573038811477,0.0017735327306822226,0.005809707231133608,0.0021875,0.0023125,0.008556576521207695
crmf,CRMF,20025,5,0.0,0.05453980099502488,1.0,0.9454601990049751,4.838992537313433,7.25468339788071,168.69103896892693,0.0024995982707374576,0.006065961538152815,0.0036875,0.004,0.009563739276609848
crmf,CRMF,20026,5,0.0,0.0004975124378109452,1.0,0.9995024875621891,5.508830845771144,6.504540096946519,140.05293668689458,0.0016123311785892313,0.005155211558007797,0.00125,0.001375,0.010853584516762833
crmf,CRMF,20027,5,0.0,0.01287313432835821,1.0,0.9871268656716417,5.3784203980099505,6.848205105642279,152.9668462553647,0.0014381567602811218,0.00473209204214122,0.0016250000000000001,0.0017500000000000003,0.01440576253230858
crmf,CRMF,20028,5,0.0,0.04651741293532338,1.0,0.9534825870646767,4.942599502487562,7.230768506880908,167.82670840049119,0.001454596132294601,0.005267090696462406,0.00275,0.003,0.013755851259956606
crmf,CRMF,20029,5,0.0,0.01075870646766169,1.0,0.9887437810945274,5.052985074626866,6.969501415426211,157.91931706731827,0.0022670688680928933,0.008798896684325723,0.0026249999999999997,0.00275,0.009741354951275179
crmf,CRMF,20030,5,0.0,0.0006840796019900498,1.0,0.9987562189054726,5.390920398009951,6.799970534307694,150.89612195176352,0.0030893284787871286,0.012669853464506548,0.002375,0.0025,0.00926705415345242
crmf,CRMF,20031,5,0.0,0.011131840796019902,1.0,0.9874378109452737,5.28799751243781,6.614258675906449,144.11771209336823,0.0025096085924136272,0.008834840043120974,0.002375,0.0025624999999999997,0.007940341645482301
crmf,CRMF,20032,5,0.0,0.06442786069651742,1.0,0.932089552238806,4.988246268656717,7.069873968354696,161.2076701588935,0.002025031136108901,0.005945883440388813,0.002,0.0021874999999999998,0.010047865003901419
crmf,CRMF,20033,5,0.0,0.033582089552238806,1.0,0.9664179104477612,5.30205223880597,6.942990882431505,156.89010234816314,0.0016327893079989323,0.005054505253447659,0.0015625,0.0018124999999999999,0.01092243402129898
crmf,CRMF,20034,5,0.0,0.004664179104477612,0.9875,0.9838308457711443,5.318097014925373,6.7879490942593605,150.74292499903478,0.0019517229094335377,0.00537916619510337,0.001375,0.0015625,0.006914554990905214
crmf,CRMF,20035,5,0.0,0.005410447761194029,1.0,0.994589552238806,4.990236318407961,7.103434160023663,163.21216867064396,0.001163039583708869,0.004190467139058226,0.0018125000000000003,0.0021875,0.010651586703542626
crmf,CRMF,20036,5,0.0,0.00043532338308457713,1.0,0.9995646766169154,5.242910447761194,6.894312145662494,154.54145441682417,0.0028797276145282437,0.012823291675157996,0.002,0.0025,0.011114534495748462
crmf,CRMF,20037,5,0.0,0.08190298507462687,1.0,0.9180970149253731,5.19570895522388,6.9747836458054895,157.83144458803105,0.002451614771807924,0.017276099267560137,0.0021874999999999998,0.0025,0.008435655798441567
crmf,CRMF,20038,5,0.1,0.04583333333333334,0.9,0.9541666666666666,5.099626865671642,7.01566852156525,159.17139909061962,0.003096931725834382,0.01834249537553396,0.0038125,0.0043124999999999995,0.009096347466609134
crmf,CRMF,20039,5,0.0,0.009701492537313432,1.0,0.9902985074626866,5.620149253731343,6.499694077945852,140.39681293774112,0.0016586368095031882,0.008044830402659246,0.0019375,0.0021249999999999997,0.008171028374019958
crmf,CRMF,20040,5,0.0,0.008955223880597014,1.0,0.991044776119403,5.274751243781095,6.8877620106546855,154.28272081829408,0.0026006809846029766,0.010383879505963579,0.0031875000000000002,0.0035000000000000005,0.008328207565200977
crmf,CRMF,20041,5,0.0,0.0022388059701492534,1.0,0.9977611940298508,5.117164179104478,6.993349037681509,158.61526714791881,0.0017721033613019535,0.0061770315203531125,0.0017500000000000003,0.001875,0.010747796184311435
crmf,CRMF,20042,5,0.0,0.007711442786069651,1.0,0.9909203980099501,5.1200248756218905,7.159434178870524,165.00778114508523,0.002492750674657744,0.00794537930141995,0.0016875000000000002,0.0018125000000000003,0.011270294279284377
crmf,CRMF,20043,5,0.0,0.012437810945273632,1.0,0.9873756218905474,5.471703980099503,6.3687804279936255,135.82634278768677,0.0017759426487885422,0.005319631550783701,0.0025624999999999997,0.0028125,0.012199962229226227
crmf,CRMF,20044,5,0.0,0.009328358208955225,1.0,0.9901119402985075,5.087064676616915,7.161433400061442,165.1364862630543,0.002379278801069338,0.016613842375929146,0.0025,0.0026249999999999997,0.009894324091368372
crmf,CRMF,20045,5,0.0,0.012375621890547264,1.0,0.9876243781094527,5.451679104477612,6.864072570221578,153.6423282927306,0.001593161517850426,0.005951105767889727,0.0015625,0.0016875000000000002,0.009962885200982772
crmf,CRMF,20046,5,0.0,0.00708955223880597,1.0,0.992910447761194,5.309514925373135,6.77341460172357,150.37133450694762,0.0018650398994167852,0.006665578556401183,0.0021874999999999998,0.0024375,0.00733988747776077
crmf,CRMF,20047,5,0.0,0.0572139303482587,1.0,0.9427860696517414,5.161194029850746,7.091136047007585,162.15975148714452,0.002796397187849979,0.01991184875908642,0.0024375,0.002625,0.010725919106142002
crmf,CRMF,20048,5,0.0,0.014116915422885573,1.0,0.984950248756219,5.15068407960199,7.0627070574683755,161.27160202049046,0.0015371665972313362,0.004426833051180314,0.0020625,0.002375,0.011454088412391745
crmf,CRMF,20049,5,0.0,0.005348258706467662,1.0,0.9942786069651742,5.351243781094527,6.791560546594425,151.08986242539007,0.0021339018895130527,0.007525299994396531,0.0021874999999999998,0.0024375,0.011329813107430713
density_oracle,Global-density oracle,20000,5,0.0,0.02543532338308458,1.0,0.9745646766169154,4.501057213930348,6.942834018699048,156.12210615243515,0.002908510344011993,0.008955245820301471,0.0033750000000000004,0.0035625000000000006,0.011827856926753033
density_oracle,Global-density oracle,20001,5,0.0,0.003980099502487562,1.0,0.9960199004975123,5.661940298507463,6.937119607815747,155.96280437374202,0.0029676799174503054,0.010944333453366473,0.0033750000000000004,0.0036875,0.010022503223943107
density_oracle,Global-density oracle,20002,5,0.0,0.008146766169154229,1.0,0.9918532338308458,5.208146766169154,6.939851012103394,156.05631642470277,0.0027997780941050408,0.010887600379523577,0.0038125,0.0039375,0.012465578855614234
density_oracle,Global-density oracle,20003,5,0.0,0.0018034825870646767,1.0,0.9978233830845771,5.513557213930349,6.928904841537173,155.6127972879732,0.003486121537844457,0.010835824387687395,0.0043749999999999995,0.004625,0.010884664441070845
density_oracle,Global-density oracle,20004,5,0.0,0.03395522388059702,1.0,0.966044776119403,4.1616915422885565,6.930963567843652,155.676390449046,0.0033865348545004774,0.00963027522144678,0.0045625,0.004625,0.01028029323419777
density_oracle,Global-density oracle,20005,5,0.0,0.0390547263681592,1.0,0.9609452736318408,5.533830845771144,6.92404773771207,155.35487446853185,0.0038054423632198527,0.010527962338298152,0.0041875,0.00425,0.010906010858951525
density_oracle,Global-density oracle,20006,5,0.0,0.009577114427860696,1.0,0.9904228855721392,4.862375621890547,6.941775745947541,156.1060836156949,0.002309863646354638,0.009745026540164067,0.0030625,0.0031875000000000002,0.008330321465339012
density_oracle,Global-density oracle,20007,5,0.0,0.0003109452736318408,1.0,0.9996890547263682,5.385945273631841,6.9338210680825565,155.82898050085734,0.0022475021641272337,0.011133911827798767,0.002375,0.0025,0.008734981357266507
density_oracle,Global-density oracle,20008,5,0.0,0.004788557213930349,1.0,0.9949004975124378,5.537251243781094,6.916999089445372,155.17160910372291,0.0040311642996549,0.011582615364312954,0.0036875000000000007,0.00375,0.009812141796175459
density_oracle,Global-density oracle,20009,5,0.0,0.010012437810945274,1.0,0.9899875621890548,4.7761815920398005,6.935684265804549,155.85312772785736,0.0027362154067607715,0.010283886152993322,0.0036875,0.0036875,0.01221043935346658
