comparison,method,half_width,density,metric,n_pairs,n_bootstrap,paired_mean_difference,ci95_low,ci95_high
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,mean_fragmentation,50,2000,0.0,0.0,0.0
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,final_largest_scc_fraction,50,2000,0.00625,0.0,0.01875
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,mean_largest_scc_fraction,50,2000,0.005907960199004976,0.0,0.017723880597014928
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,mean_degree,50,2000,2.7358146766169154,2.509852300995025,2.9789536691542287
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,mean_radius,50,2000,1.536713418752017,1.426502894584927,1.6470336649964534
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,mean_interaction_area,50,2000,65.20017799158833,60.9043874755804,69.2446225003168
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,radius_temporal_variation,50,2000,-0.002177349254010074,-0.002430665752723907,-0.0019383077013514043
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,radius_command_temporal_variation,50,2000,-0.0026184370510870174,-0.002951135863399734,-0.002289372100332076
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,neighbor_loss_rate,50,2000,-0.0016625000000000001,-0.00205,-0.0012812500000000003
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,contact_break_rate,50,2000,-0.0015437500000000002,-0.0019625000000000003,-0.00113125
fixed_r8_retained - alf,fixed_r8_retained,9.0,0.04938271604938271,control_energy,50,2000,-0.0001577619910681905,-0.00023271319672836874,-8.883023615853339e-05
crmf - alf,crmf,11.0,0.03305785123966942,final_fragmentation,50,2000,0.0,0.0,0.0
crmf - alf,crmf,11.0,0.03305785123966942,mean_fragmentation,50,2000,0.0,0.0,0.0
crmf - alf,crmf,11.0,0.03305785123966942,final_largest_scc_fraction,50,2000,0.0,-0.01125,0.01125
crmf - alf,crmf,11.0,0.03305785123966942,mean_largest_scc_fraction,50,2000,-0.0009639303482587058,-0.010883084577114429,0.008016169154228859
crmf - alf,crmf,11.0,0.03305785123966942,mean_degree,50,2000,0.25992537313432834,0.1932573072139303,0.3257294776119401
crmf - alf,crmf,11.0,0.03305785123966942,mean_radius,50,2000,0.21286500671153902,0.14652851833585553,0.27907005747910546
crmf - alf,crmf,11.0,0.03305785123966942,mean_interaction_area,50,2000,8.635988245702526,5.571194532255397,11.664499635723233
crmf - alf,crmf,11.0,0.03305785123966942,radius_temporal_variation,50,2000,0.0009048087126316151,0.0005695173611884803,0.0012522202322693386
crmf - alf,crmf,11.0,0.03305785123966942,radius_command_temporal_variation,50,2000,0.005699100716205715,0.004725060671423803,0.006756601206034013
crmf - alf,crmf,11.0,0.03305785123966942,neighbor_loss_rate,50,2000,-0.00034375000000000003,-0.0005814062500000001,-0.00010625000000000005
crmf - alf,crmf,11.0,0.03305785123966942,contact_break_rate,50,2000,-0.0003,-0.00055,-5.6250000000000026e-05
crmf - alf,crmf,11.0,0.03305785123966942,control_energy,50,2000,-2.970215554959129e-06,-1.1866042536527087e-05,6.59472871239454e-06
stardisplay - alf,stardisplay,11.0,0.03305785123966942,final_fragmentation,50,2000,0.0,0.0,0.0
stardisplay - alf,stardisplay,11.0,0.03305785123966942,mean_fragmentation,50,2000,0.0,0.0,0.0
stardisplay - alf,stardisplay,11.0,0.03305785123966942,final_largest_scc_fraction,50,2000,-0.015,-0.03875,0.0025
stardisplay - alf,stardisplay,11.0,0.03305785123966942,mean_largest_scc_fraction,50,2000,-0.016784825870646766,-0.0392540422885572,-0.002350590796019899
stardisplay - alf,stardisplay,11.0,0.03305785123966942,mean_degree,50,2000,-1.2644589552238805,-1.3852653917910447,-1.144052394278607
stardisplay - alf,stardisplay,11.0,0.03305785123966942,mean_radius,50,2000,-1.0335741680111878,-1.107573058804817,-0.9581014385073852
stardisplay - alf,stardisplay,11.0,0.03305785123966942,mean_interaction_area,50,2000,-45.34453690917253,-48.51132928108802,-42.12009104864339
stardisplay - alf,stardisplay,11.0,0.03305785123966942,radius_temporal_variation,50,2000,0.015865510342303893,0.014754200296472968,0.01691174382957494
stardisplay - alf,stardisplay,11.0,0.03305785123966942,radius_command_temporal_variation,50,2000,0.13770738297870413,0.12212779106000936,0.15583374921027152
stardisplay - alf,stardisplay,11.0,0.03305785123966942,neighbor_loss_rate,50,2000,0.00798125,0.0073810937500000005,0.008587656249999999
stardisplay - alf,stardisplay,11.0,0.03305785123966942,contact_break_rate,50,2000,0.007925,0.007306249999999999,0.0085375
stardisplay - alf,stardisplay,11.0,0.03305785123966942,control_energy,50,2000,-9.002517748157355e-05,-0.00015964342091586586,-3.202233845080542e-05
density_oracle - alf,density_oracle,11.0,0.03305785123966942,final_fragmentation,50,2000,0.0,0.0,0.0
density_oracle - alf,density_oracle,11.0,0.03305785123966942,mean_fragmentation,50,2000,0.0,0.0,0.0
density_oracle - alf,density_oracle,11.0,0.03305785123966942,final_largest_scc_fraction,50,2000,0.00375,0.0,0.01125
density_oracle - alf,density_oracle,11.0,0.03305785123966942,mean_largest_scc_fraction,50,2000,0.002674129353233832,-0.0001119402985074647,0.00813432835820896
density_oracle - alf,density_oracle,11.0,0.03305785123966942,mean_degree,50,2000,0.4374067164179104,0.31863137437810946,0.5610743159203979
density_oracle - alf,density_oracle,11.0,0.03305785123966942,mean_radius,50,2000,0.4126230476837128,0.32079667966898345,0.512813173035931
density_oracle - alf,density_oracle,11.0,0.03305785123966942,mean_interaction_area,50,2000,16.083759005838683,12.165276770415684,20.066272679011156
density_oracle - alf,density_oracle,11.0,0.03305785123966942,radius_temporal_variation,50,2000,0.0023084240937638447,0.0018633276192924237,0.0027822395534131306
density_oracle - alf,density_oracle,11.0,0.03305785123966942,radius_command_temporal_variation,50,2000,0.013855425890888427,0.013337765907033368,0.014324915855071127
density_oracle - alf,density_oracle,11.0,0.03305785123966942,neighbor_loss_rate,50,2000,-0.0003,-0.00055640625,-5e-05
density_oracle - alf,density_oracle,11.0,0.03305785123966942,contact_break_rate,50,2000,-0.00030624999999999994,-0.00054375,-6.874999999999996e-05
density_oracle - alf,density_oracle,11.0,0.03305785123966942,control_energy,50,2000,4.521604818557185e-06,-6.002275902218148e-06,1.5671382065355773e-05
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,final_fragmentation,50,2000,0.0,0.0,0.0
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,mean_fragmentation,50,2000,0.0,0.0,0.0
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,final_largest_scc_fraction,50,2000,0.00375,0.0,0.01125
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,mean_largest_scc_fraction,50,2000,0.0025746268656716433,-0.0010572139303482574,0.008787313432835824
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,mean_degree,50,2000,0.10432835820895528,0.0009359452736318571,0.20861971393034826
knn_k6 - alf,knn_k6,11.0,0.03305785123966942,mean_radius,50,2000,1.0803303928865835,0.9838257088085329,1.178436635087759
