density,failure_indicator_mean,failure_indicator_sd,geometry,mean_contact_break_rate_mean,mean_contact_break_rate_sd,mean_control_effort_proxy_mean,mean_control_effort_proxy_sd,mean_fragmentation_mean,mean_fragmentation_sd,mean_largest_scc_fraction_mean,mean_largest_scc_fraction_sd,method,method_label,n_pairs,radius_temporal_variation_mean,radius_temporal_variation_sd,recovery_steps_after_release_mean,recovery_steps_after_release_sd,scenario
0.0204,0.16666666666666666,0.3790490217894517,clustered,0.0005069303049926567,0.0002820584690508328,0.0062376488690512885,0.0008735851581067854,0.12516666666666668,0.1644556503119921,0.7794375,0.18327283076247186,alf,ALF,30,0.0040862253468327845,0.0015592874342801166,24.466666666666665,29.42053391921965,position_noise_sigma_0p01rb
0.0331,0.13333333333333333,0.3457459036417604,clustered,0.00044665370072763307,0.0002592483222447436,0.00622960362578678,0.0008989450674964551,0.11372916666666666,0.1654075494570458,0.8386354166666667,0.19146610795800817,alf,ALF,30,0.003365786334693829,0.001395444754099608,15.4,26.364291419815657,position_noise_sigma_0p01rb
0.0123,0.16666666666666666,0.3790490217894517,uniform,0.00048681350887571685,0.00040083715688489356,0.006928027777651482,0.000729234896047172,0.08438541666666667,0.07096270170466719,0.9071354166666666,0.0700420845692915,alf,ALF,30,0.0005995363824360937,0.0009490340140430451,8.133333333333333,21.090500122147382,position_noise_sigma_0p01rb
0.0204,0.0,0.0,uniform,0.0004887584401214771,0.000303006777443372,0.006559143840510096,0.0005892572813380041,0.0032083333333333334,0.0071052420647611,0.9921875,0.020930341673900288,alf,ALF,30,0.0017410412961797526,0.0018339966258127446,2.033333333333333,11.137025335938377,position_noise_sigma_0p01rb
0.0331,0.0,0.0,uniform,0.0006186528312665774,0.00036915854969427807,0.00630275621696499,0.0006058284136767629,0.0,0.0,0.9999687500000001,0.0001711632992203709,alf,ALF,30,0.0033535996375177843,0.0018722498638291745,0.0,0.0,position_noise_sigma_0p01rb
0.0123,0.3,0.466091599699399,clustered,0.00032088366731419023,0.0001696648551501181,0.006274911203701934,0.0009076390283822703,0.15335416666666665,0.2188144291406389,0.7319479166666666,0.22957349949668976,crmf,CRMF,30,0.0036179075902276234,0.0019420306411659473,32.53333333333333,30.952392067700416,actuation_velocity_scale_acceleration_heading_lag
0.0204,0.3,0.466091599699399,clustered,0.0004321611940726307,0.0002705089433292999,0.006404896923450683,0.001287384982276799,0.15675,0.21919735045906888,0.7456875000000001,0.2273240604253669,crmf,CRMF,30,0.003176972792355583,0.0019011981104817693,32.06666666666667,30.61207034120222,actuation_velocity_scale_acceleration_heading_lag
0.0331,0.26666666666666666,0.4497764451088036,clustered,0.00044437395573752175,0.0002641160798085937,0.006324112828112107,0.0010796736761931357,0.13833333333333334,0.20483102090854496,0.8003750000000001,0.22102373426832195,crmf,CRMF,30,0.0032324943023488697,0.0017390539905057143,24.4,30.39464562646883,actuation_velocity_scale_acceleration_heading_lag
0.0123,0.43333333333333335,0.5040069329937309,uniform,0.0007688803591696655,0.0014006570590986733,0.00883966818493911,0.00726365295259476,0.12620833333333334,0.13092510931552284,0.8721979166666666,0.13003026430227188,crmf,CRMF,30,0.00038177443430928014,0.0005763367311442289,27.266666666666666,30.312093106642227,actuation_velocity_scale_acceleration_heading_lag
0.0204,0.0,0.0,uniform,0.00038989418428051983,0.00027217783929494866,0.006584884433310228,0.0006157203311534568,0.00309375,0.006983060438081326,0.996,0.009359685767824356,crmf,CRMF,30,0.0012465488432934506,0.0010805884223508,0.0,0.0,actuation_velocity_scale_acceleration_heading_lag
0.0331,0.0,0.0,uniform,0.00044449238223891505,0.0002140307872414123,0.006309046173159515,0.0006016613156896992,0.0,0.0,1.0,0.0,crmf,CRMF,30,0.002898821354921023,0.0009993406591762176,0.0,0.0,actuation_velocity_scale_acceleration_heading_lag
