target_degree,eval_seed,n_agents,steps,final_fragmentation,mean_fragmentation,polar_order,neighbor_loss_rate,control_energy,mean_radius,mean_probe_degree,mean_interaction_out_degree
4,20006,16,200,0.0,0.0,0.9884401632316772,0.000625,0.00849796916506398,7.400785527098773,1.1237562189054726,4.72636815920398
4,20007,16,200,0.0,0.0,0.951730482127651,0.003125,0.007865076433792757,6.839355976187079,1.373134328358209,4.382773631840796
4,20008,16,200,0.0,0.0,0.986865541436885,0.00125,0.009406960989378814,6.925490029612022,1.248134328358209,5.049440298507463
4,20009,16,200,0.0,0.0,0.9844379334387701,0.0025,0.009558522373028249,7.213402371857017,1.1243781094527363,4.393656716417911
4,20010,16,200,0.0,0.0,0.9900491214273732,0.0028125,0.010349368787716506,7.653064977469994,0.8737562189054726,4.519900497512438
4,20011,16,200,0.0,0.0,0.9796797378095866,0.0003125,0.00744004811555506,6.4207651804999415,1.8774875621890548,4.486318407960199
4,20012,16,200,0.0,0.0,0.9926716930362668,0.0009375,0.010824605809048654,7.853553390593278,0.6256218905472637,5.0065298507462686
4,20013,16,200,0.0,0.0,0.9455818851847761,0.001875,0.009162603834730228,6.793378504492765,1.5541044776119404,3.7074004975124377
4,20014,16,200,0.0,0.0,0.9603711458508578,0.0025,0.008077085303854844,5.822616827505035,1.9962686567164178,3.94931592039801
4,20015,16,200,0.0,0.0,0.9833662309588637,0.0046875,0.011440782779037062,7.157749848364059,0.9981343283582089,3.978233830845771
4,20016,16,200,0.0,0.0,0.9917692518420128,0.0021875,0.009376694527583366,6.31128789239335,1.8656716417910448,4.074937810945274
4,20017,16,200,0.0,0.0,0.9852280777409792,0.0015625,0.009615627049086617,7.2289206110065525,1.1050995024875623,4.563121890547263
4,20018,16,200,0.0,0.0,0.9868676609285032,0.0003125,0.01101560789195163,6.633792356750812,1.623134328358209,4.103233830845771
4,20019,16,200,0.0,0.0,0.9719882544170811,0.0025,0.009772962806855672,6.574172865768828,1.353855721393035,4.163246268656716
4,20020,16,200,0.0,0.0,0.9693941051792945,0.0046875,0.010076697484979646,6.59417625123782,1.5746268656716418,4.001243781094527
4,20021,16,200,0.0,0.0,0.9944606642860936,0.001875,0.008185531682121572,7.071013889482955,1.1243781094527363,5.007462686567164
4,20022,16,200,0.0,0.0,0.9854043555051477,0.0040625,0.008677810748789856,7.445542936504738,0.7475124378109452,4.344216417910448
4,20023,16,200,0.0,0.0,0.9773846184709706,0.006875,0.010882172306982152,6.202867274963516,1.8227611940298507,4.536691542288557
4,20024,16,200,0.0,0.0,0.9149379488831426,0.0025,0.00752702530908523,7.26048105200548,1.1088308457711442,4.2179726368159205
4,20025,16,200,0.0,0.0,0.9827892367466317,0.001875,0.01028416802398038,6.860900265403117,1.2375621890547264,3.442786069651741
4,20026,16,200,0.0,0.0,0.994686505796375,0.003125,0.010002867442620474,6.217784941607302,1.751865671641791,4.5559701492537314
4,20027,16,200,0.0,0.0,0.9893868216189126,0.0025,0.007257732420172789,7.408062064212738,1.0031094527363185,5.051616915422885
4,20028,16,200,0.0,0.0,0.9877825773408434,0.0003125,0.009511201499496658,7.837524408479437,0.6262437810945274,4.401741293532338
4,20029,16,200,0.0,0.0,0.988753708825,0.000625,0.009640493016698129,7.342049405413753,1.006218905472637,4.596703980099503
4,20030,16,200,0.0,0.0,0.9863466846506227,0.00375,0.009853423219496138,6.1279366527928385,1.9570895522388059,4.249378109452737
4,20031,16,200,0.0,0.0,0.9793722169075086,0.001875,0.007589817706924911,6.414247764626883,1.501865671641791,4.560012437810945
4,20032,16,200,0.0,0.0,0.9914927190591831,0.00125,0.00889241782377544,6.994063015394965,1.3756218905472637,4.254353233830845
4,20033,16,200,0.0,0.0,0.9936051681132182,0.0021875,0.007941109945104361,6.988073137028026,1.251865671641791,4.426927860696518
4,20034,16,200,0.0,0.0,0.9915189130860084,0.001875,0.00718245737637001,6.336543378811509,1.625,4.073072139303482
4,20035,16,200,0.0,0.0,0.9838876696884463,0.00125,0.00885138533610452,7.538802468897172,0.753731343283582,4.667599502487562
4,20036,16,200,0.0,0.0,0.9394073765814633,0.0025,0.011322455972880674,7.199245746487959,1.0037313432835822,4.747823383084577
4,20037,16,200,0.0,0.0,0.9863677501994497,0.0009375,0.007740043369688071,7.4817176895712345,1.001865671641791,4.918532338308458
4,20038,16,200,0.0,0.0,0.9790815403252795,0.003125,0.009600099303071496,6.967265055799234,1.2506218905472637,4.125
4,20039,16,200,0.0,0.0,0.9360059562991241,0.0025,0.0065434551708162215,6.7020260324952154,1.7400497512437811,5.2288557213930345
4,20040,16,200,0.0,0.0,0.9146679256650955,0.001875,0.007652163536203662,6.7007627861927315,1.51181592039801,4.5049751243781095
4,20041,16,200,0.0,0.0,0.9845815152049114,0.0009375,0.010920531381805227,6.980040227766406,1.248134328358209,4.502176616915423
4,20042,16,200,0.0,0.0,0.9811093983293886,0.0003125,0.00946341178251855,7.114034442598763,1.0006218905472637,4.052238805970149
4,20043,16,200,0.0,0.0,0.9861335593498939,0.004375,0.012015468976522843,6.047876796135355,2.123134328358209,4.508084577114428
4,20044,16,200,0.0,0.0009328358208955224,0.9836306753781395,0.003125,0.009796605612109495,6.965402062918733,1.381218905472637,4.758084577114428
4,20045,16,200,0.0,0.0,0.9894788788900809,0.0040625,0.009901702236306665,6.264599464422843,1.6106965174129353,4.498756218905473
4,20046,16,200,0.0,0.0,0.9940482357152532,0.0015625,0.007116590124858803,6.749255545226779,1.6237562189054726,4.697450248756219
4,20047,16,200,0.0,0.0,0.9845804676323017,0.000625,0.008904555816925976,6.835907185146842,1.3756218905472637,4.2450248756218905
4,20048,16,200,0.0,0.0,0.987007827674484,0.0021875,0.010023242661569603,7.355385041525217,1.1169154228855722,4.562810945273632
4,20049,16,200,0.0,0.0,0.9828791011312925,0.000625,0.0084637228590416,6.845117222155982,1.375,4.425062189054726
5,20000,16,200,0.0,0.0,0.9915883784863069,0.0009375,0.009664403285319402,7.299172149789213,1.25,3.968283582089552
5,20001,16,200,0.0,0.0,0.9856329877736335,0.0028125,0.009601294802926234,7.135229847633022,1.248134328358209,4.703980099502488
5,20002,16,200,0.0,0.0,0.9873358532935599,0.003125,0.009358751230639091,7.24010523562003,1.2475124378109452,4.287935323383085
5,20003,16,200,0.0,0.0,0.9911891849190706,0.00125,0.009419048251762922,7.371708245126248,1.0006218905472637,5.122823383084577
5,20004,16,200,0.0,0.0,0.985584085139213,0.00125,0.009295021518236307,7.540781931888945,1.0,4.290733830845771
5,20005,16,200,0.0,0.0,0.9931216844596377,0.0015625,0.010165247650309649,6.6861007551502665,1.748134328358209,4.435012437810945
5,20006,16,200,0.0,0.0,0.9884464112491195,0.0003125,0.00846510546337901,7.5702364666672315,1.1237562189054726,4.843905472636816
