agent_collision_rate,candidate_cap,components,contact_break_rate,control_energy,density,distance_evaluations_per_step,edge_persistence,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,fragmentation,half_width,largest_component_fraction,mean_abs_radius_command_update,mean_abs_radius_update,mean_agent_degree_temporal_variance,mean_agent_radius_temporal_std,mean_degree,mean_degree_error,mean_degree_error_sq,mean_edge_count,mean_fragmentation,mean_interaction_area,mean_interaction_out_degree,mean_largest_component_fraction,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_probe_degree,mean_radius,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,mechanism,method,minimum_agent_distance,minimum_obstacle_clearance,n_agents,neighbor_loss_rate,noise_std,obstacle_collision_rate,obstacle_proximity_rate,parameter,polar_order,radius_command_temporal_variation,radius_max_saturation_fraction,radius_min_saturation_fraction,radius_oscillation_frequency,radius_sign_reversal_count,radius_sign_reversal_rate,radius_temporal_variation,rms_radius_update,runtime_s,seed,sorting_operations_per_step,steps,velocity_dispersion,visible_neighbor_count_mean
0.0,8.0,1.0,0.0,0.023936688991312433,0.012345679012345678,240,1.0,56.0,0.0,1.0,3.5,3.5,1.0,1.0,1.0,0.23333333333333334,1.0,0.2283761027581327,0.0,18.0,1.0,0.0,0.0,0.26042053414519445,0.0,3.2916666666666665,5.500621890547263,30.5068407960199,52.666666666666664,0.020522388059701493,201.06192982974676,3.2916666666666665,0.9794776119402985,0.9794776119402985,0.945273631840796,0.945273631840796,1.1691542288557213,0.21944444444444497,0.4993781094527363,8.0,1024.0,64.0,0.9054726368159204,0.18973729109841125,alf,alf,2.04361105410503,36.0,16,0.0,0.0,0.0,0.0,0.5,0.8984067078889171,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.1080427000001691,20010,0,200,0.025687493182220238,3.449004975124378
0.0,8.0,1.0,0.000625,0.007715312343802089,0.012345679012345678,240,0.9998593750000001,55.0,0.0,1.0,3.4375,3.4375,2.0,2.0,1.0,0.22916666666666666,1.0,0.27102639959364416,0.0,18.0,1.0,0.0,0.0,0.04809905695403579,1.1102230246251565e-16,3.4054726368159205,5.0,25.625,54.48756218905473,0.02332089552238806,188.49555921538757,3.4054726368159205,0.976679104477612,0.976679104477612,1.9900497512437811,1.9900497512437811,1.1243781094527363,0.22703150912106096,1.0,7.7195787943777,960.0,60.0,0.8756218905472637,0.23176731139189613,alf,alf,0.764390222005419,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.9494216276487255,0.0,0.8125,0.0,0.0,0,0.0,0.0,0.0,1.0953921000000264,20011,0,200,0.005848484799488572,4.0783582089552235
0.0,8.0,1.0,0.001875,0.04837242657925542,0.012345679012345678,240,0.9992443193662705,36.0,0.0,1.0,2.25,2.25,1.0,1.0,1.0,0.15,1.0,0.16675841646205158,0.0,18.0,1.0,0.0,0.0,0.05602893492735328,0.0,2.1958955223880596,5.625621890547263,31.8818407960199,35.134328358208954,0.05690298507462686,201.06192982974676,2.1958955223880596,0.9430970149253731,0.9430970149253731,0.9900497512437811,0.9900497512437811,1.2786069651741294,0.14639303482587016,0.3743781094527363,8.0,1024.0,64.0,0.8407960199004975,0.14036935892140898,alf,alf,2.2141266374489157,36.0,16,0.0015625,0.0,0.0,0.0,0.5,0.9597979078335221,0.0,1.0,0.0,0.0,0,0.0,0.0,0.0,1.1056943999997202,20012,0,200,0.011969830287801736,2.4166666666666665
0.0,8.0,1.0,0.000625,0.02294611419526902,0.012345679012345678,240,0.9997792494481237,45.0,0.0,0.6875,2.8125,2.8125,1.0,1.0,2.0,0.1875,0.6875,0.08350057132257784,0.0,18.0,1.0,0.0014644660940672622,0.0014641457328690396,0.07091718026781516,0.05250473006110132,2.7590174129353233,4.91728855721393,25.671019900497512,44.14427860696517,0.2232587064676617,174.12194438207158,2.7590174129353233,0.7767412935323383,0.6663557213930348,0.8557213930348259,0.945273631840796,2.1393034825870645,0.18393449419568828,1.0827114427860696,7.3774646272333655,886.7957807737206,55.42473629835754,0.3224502487562189,0.0412224208263181,alf,alf,1.0764368236438715,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.6242966553041077,0.0014644660940672622,0.6878109452736318,0.0,0.0003125,1,0.0016750418760469012,0.0014641457328690396,0.009537107538394311,1.0551661999998032,20013,0,200,0.025915669600900405,2.986940298507463
0.0,8.0,1.0,0.0009375,0.008950213477527622,0.012345679012345678,240,0.9997395833333332,54.0,0.0,1.0,3.375,3.375,2.0,2.0,1.0,0.225,1.0,0.12524605568947367,0.0,18.0,1.0,0.0006698729810778071,0.0006692039842613895,0.14373406598846564,0.026994580918624566,3.2571517412935322,4.787313432835821,23.62313432835821,52.114427860696516,0.034203980099502485,179.99824004007013,3.2571517412935322,0.9657960199004975,0.9129353233830846,1.7213930348258706,1.8208955223880596,1.2786069651741294,0.21714344941956965,1.212686567164179,7.538619097341379,916.7235088069978,57.29521930043736,0.7742537313432836,0.10529705411731274,alf,alf,1.86451305448533,36.0,16,0.0009375,0.0,0.0,0.0,0.5,0.8290243958684073,0.0006698729810778071,0.6253109452736318,0.0,0.0003125,1,0.005025125628140704,0.0006692039842613895,0.006147168849364199,1.1860383000002912,20014,0,200,0.015983844123389636,3.4011194029850746
0.0,8.0,1.0,0.000625,0.05916037097522894,0.012345679012345678,240,0.9998161571593656,44.0,0.0,1.0,2.75,2.75,2.0,2.0,1.0,0.18333333333333332,1.0,0.18845142176851382,0.0,18.0,1.0,0.00033493649053890353,0.0003349364903026031,0.2993675899111408,0.0103146690317281,2.5248756218905473,5.625,31.875621890547265,40.398009950248756,0.13961442786069653,200.9003161449695,2.5248756218905473,0.8603855721393034,0.8603855721393034,1.5671641791044777,1.5671641791044777,1.7512437810945274,0.16832504145936972,0.375,7.99666729860372,1023.176908262285,63.94855676639281,0.6368159203980099,0.12917168084648534,alf,alf,2.757538476682998,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.8113527351373054,0.00033493649053890353,0.9375,0.0,0.0,0,0.0,0.0003349364903026031,0.004346709878701689,1.1030932000003304,20015,0,200,0.032658418216890396,2.654850746268657
0.0,8.0,1.0,0.0009375,0.011442334086798995,0.012345679012345678,240,0.9996770833333332,50.0,0.0,1.0,3.125,3.125,2.0,2.0,1.0,0.20833333333333334,1.0,0.16056104580078134,0.0,18.0,1.0,0.0,0.0,0.0991869013143239,1.6653345369377348e-16,3.0186567164179103,5.020522388059701,25.600746268656717,48.298507462686565,0.0,191.63715186897738,3.0186567164179103,1.0,1.0,1.9800995024875623,1.9800995024875623,1.0,0.20124378109452742,0.9794776119402985,7.799038105676643,976.0,61.0,1.0,0.13297436530709852,alf,alf,1.506853440542252,36.0,16,0.0009375,0.0,0.0,0.0,0.5,0.9827056184312647,0.0,0.8125,0.0,0.0,0,0.0,0.0,0.0,1.1496354000000792,20016,0,200,0.006983149798194266,3.366915422885572
0.0,8.0,2.0,0.00125,0.018021933919130144,0.012345679012345678,240,0.9994270833333334,42.0,0.125,0.875,2.625,2.625,1.0,1.0,2.0,0.175,0.0,0.00022302461445084844,0.125,18.0,0.875,0.0,0.0,0.06300896017425311,1.6653345369377348e-16,2.5973258706467663,5.375,29.5,41.55721393034826,0.1455223880597015,191.63715186897738,2.5973258706467663,0.8544776119402985,0.8544776119402985,1.0,1.0,2.009950248756219,0.17315505804311795,0.625,7.799038105676643,976.0,61.0,0.004975124378109453,0.000570902482519382,alf,alf,1.7955438227365363,36.0,16,0.00125,0.0,0.0,0.0,0.5,0.9767785169580141,0.0,0.8125,0.0,0.0,0,0.0,0.0,0.0,1.12997039999982,20017,0,200,0.009208498145397993,2.730721393034826
0.0,8.0,1.0,0.0,0.01921810062062809,0.012345679012345678,240,1.0,47.0,0.0,1.0,2.9375,2.9375,1.0,1.0,1.0,0.19583333333333333,1.0,0.1774785804770923,0.0,18.0,1.0,0.0,0.0,0.03806217667879508,1.6653345369377348e-16,2.896455223880597,5.125,26.75,46.343283582089555,0.00808457711442786,191.63715186897738,2.896455223880597,0.9919154228855721,0.9919154228855721,1.0,1.0,1.064676616915423,0.19309701492537282,0.875,7.799038105676643,976.0,61.0,0.9353233830845771,0.1648657044599203,alf,alf,2.1282296530267333,36.0,16,0.0,0.0,0.0,0.0,0.5,0.9669570930161528,0.0,0.8125,0.0,0.0,0,0.0,0.0,0.0,1.1817535000000134,20018,0,200,0.008810179587447684,2.987562189054726
0.0,8.0,1.0,0.000625,0.013191264649442877,0.012345679012345678,240,0.9998745688303543,52.0,0.0,1.0,3.25,3.25,2.0,2.0,1.0,0.21666666666666667,1.0,0.2861374269385225,0.0,18.0,1.0,0.0010048094716167105,0.001004098410861185,0.1255476349595307,0.03807391299519712,3.1772388059701493,5.291044776119403,28.41044776119403,50.83582089552239,0.025808457711442787,195.93504514297197,3.1772388059701493,0.9741915422885572,0.9741915422885572,1.8955223880597014,1.8955223880597014,1.144278606965174,0.2118159203980098,0.7089552238805971,7.89102066205683,997.8889907020048,62.3680619188753,0.9552238805970149,0.257663384479884,alf,alf,1.6121936862074204,36.0,16,0.000625,0.0,0.0,0.0,0.5,0.8972231191068588,0.0010048094716167105,0.8753109452736318,0.0,0.0003125,1,0.0025188916876574307,0.001004098410861185,0.00752605893376909,1.1079747000003408,20019,0,200,0.012368303456124923,3.1958955223880596
