method,method_label,half_width,density,n_seeds,final_fragmentation_mean,final_fragmentation_sd,mean_fragmentation_mean,mean_fragmentation_sd,final_largest_scc_fraction_mean,final_largest_scc_fraction_sd,mean_largest_scc_fraction_mean,mean_largest_scc_fraction_sd,mean_degree_mean,mean_degree_sd,mean_radius_mean,mean_radius_sd,mean_interaction_area_mean,mean_interaction_area_sd,radius_temporal_variation_mean,radius_temporal_variation_sd,radius_command_temporal_variation_mean,radius_command_temporal_variation_sd,neighbor_loss_rate_mean,neighbor_loss_rate_sd,contact_break_rate_mean,contact_break_rate_sd,control_energy_mean,control_energy_sd
density_oracle,Global-density oracle,7.0,0.08163265306122448,50,0.0,0.0,0.0,0.0,1.0,0.0,0.9997574626865672,0.0017149977901912523,6.083283582089552,0.5858562018840284,4.8538216380829,0.014138648539875686,74.1032697706872,0.43993736347705553,0.004200387867381579,0.0008149072390464486,0.005153307232230747,0.000694815238014051,0.0079375,0.002873141591018587,0.00834375,0.0029465976683079,0.00858771112210802,0.0013051423490851681
density_oracle,Global-density oracle,9.0,0.04938271604938271,50,0.0,0.0,0.0,0.0,1.0,0.0,0.9998507462686567,0.0010553832555023127,5.995876865671642,0.659692438821435,6.234605581715864,0.022610375518159722,122.24114760424635,0.8768173955464122,0.005588686505757076,0.0008483146601685731,0.011388830610210616,0.0010569938177704896,0.0068625000000000005,0.002222263853068096,0.00704375,0.0022695174602877636,0.008628900300852105,0.0012990977231724973
density_oracle,Global-density oracle,11.0,0.03305785123966942,50,0.0,0.0,0.0,0.0,1.0,0.0,0.9997388059701493,0.0015634085932806606,5.87962064676617,0.6514067925962428,7.582292654797129,0.02007574310366705,180.70054654413354,0.8919818779423079,0.003937632864002619,0.0014931705178356678,0.015896263350744996,0.0012220288132598043,0.0017375000000000001,0.0009494560741470317,0.0018812500000000001,0.0010479001415367082,0.008740131551680281,0.0011731674932082016
density_oracle,Global-density oracle,14.0,0.02040816326530612,50,0.0,0.0,0.0018097014925373134,0.004578437375028125,1.0,0.0,0.9972885572139303,0.0063414542284589825,4.227574626865672,0.5533371617929038,7.984295375890785,0.010135532848752156,200.31403940354204,0.471709079036535,0.0015783147228648408,0.001018621051227698,0.012819518906475655,0.0014153344425675816,0.0009,0.0006141922686399942,0.0009562500000000001,0.0006199091132363432,0.00980578554770789,0.0016878237145491483
density_oracle,Global-density oracle,18.0,0.012345679012345678,50,0.0125,0.07253605718424964,0.084863184079602,0.09621487684136604,0.9875,0.07253605718424964,0.9144402985074627,0.09587650032003524,2.9525746268656716,0.44230053630742255,7.993672471558159,0.00590938022601209,200.75661869837623,0.2832850005399531,0.0006359166083600765,0.0005938927126722538,0.0070651168803757755,0.002148643285940877,0.00075,0.0006591438866175625,0.000775,0.0006951682735650618,0.017575667354633805,0.010067761203597547
fixed_r8_retained,Maximum radius + retention,7.0,0.08163265306122448,50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.33745024875622,0.6300244781553803,6.75,0.0,143.13881527918494,0.0,0.0,0.0,0.0,0.0,0.0013375000000000001,0.0009128127085094327,0.0017125,0.0010774385014885052,0.008449550333491125,0.0013185500658875785
fixed_r8_retained,Maximum radius + retention,9.0,0.04938271604938271,50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,9.564950248756219,0.7179460111882863,8.0,0.0,201.06192982974676,0.0,0.0,0.0,0.0,0.0,0.0011875000000000002,0.0007732369676646774,0.0015562500000000001,0.000900613630095773,0.008474796260326592,0.0013137285395337464
fixed_r8_retained,Maximum radius + retention,11.0,0.03305785123966942,50,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,6.503258706467661,0.6995611374682242,8.0,0.0,201.06192982974676,0.0,0.0,0.0,0.0,0.0,0.00111875,0.0008863378061623305,0.0012875,0.0009588138399041999,0.008628495365157618,0.0012351507510263982
fixed_r8_retained,Maximum radius + retention,14.0,0.02040816326530612,50,0.0,0.0,0.0019713930348258706,0.004936347033277365,1.0,0.0,0.9980286069651741,0.004936347033277361,4.239713930348259,0.547156501846651,8.0,0.0,201.06192982974676,0.0,0.0,0.0,0.0,0.0,0.0011375,0.0007219455361333409,0.0012,0.0007290877022354858,0.009676072756977806,0.0017058439580789689
fixed_r8_retained,Maximum radius + retention,18.0,0.012345679012345678,50,0.0025,0.017677669529663688,0.08144900497512438,0.09559282983604471,0.9975,0.017677669529663688,0.9185509950248756,0.09559282983604471,2.966902985074627,0.45749244729682637,8.0,0.0,201.06192982974676,0.0,0.0,0.0,0.0,0.0,0.00075,0.0006591438866175625,0.000775,0.0006951682735650618,0.017903336314848525,0.010453892301503924
