candidate_cap,contact_break_rate,controller_wall_s_per_agent_step,degree_variance,density,edge_persistence,episode_failure,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,geometry,half_width,mean_degree,mean_edge_count,mean_fragmentation,mean_interaction_area,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,method,n_agents,neighbor_loss_rate,radius_max_saturation_fraction,radius_temporal_variation,seed,stage,steps
8.0,0.0071875,0.0001429304687496824,0.669710759015866,0.0123,0.9988040674603177,0,84.0,0.0,1.0,5.25,5.25,2.0,4.0,1.0,0.35,1.0,0.9052708504258774,clustered,18.033392693348645,4.741915422885572,75.87064676616916,0.39054726368159204,70.59432963879023,0.5970149253731343,2.0,3.283582089552239,1.8059701492537314,0.3161276948590373,359.5339685207091,22.47087303254432,0.2064676616915423,0.13776254257274004,crdf,16,0.006875,0.0006218905472636816,0.01217330572065839,29005,evaluation,200
8.0,0.004375,0.0001653415625003163,0.4087630875473379,0.0123,0.9994322803932179,0,100.0,0.0,1.0,6.25,6.25,2.0,5.0,1.0,0.4166666666666667,1.0,0.6529857943339864,clustered,18.033392693348645,5.958955223880597,95.34328358208955,0.39552238805970147,116.9450844386103,0.554726368159204,2.0,4.965174129353234,1.890547263681592,0.3972636815920398,595.5964242785253,37.22477651740783,0.15920398009950248,0.1172461114110966,crmf,16,0.004375,0.0006218905472636816,0.0066493485902714665,29005,evaluation,200
8.0,0.001875,0.00018670906250008556,1.3654241231652682,0.0123,0.9997950036075036,0,124.0,0.0,1.0,7.75,7.75,6.0,6.0,1.0,0.5166666666666667,1.0,1.1833218281464273,clustered,18.033392693348645,7.77363184079602,124.37810945273633,0.0,201.06192982974676,1.0,6.059701492537314,6.059701492537314,1.0,0.518242122719734,1024.0,64.0,1.0,1.201528376381426,fixed_r_retained,16,0.001875,1.0,0.0,29005,evaluation,200
8.0,0.003125,0.0001434290625002177,1.2206118041632632,0.0123,0.9994022817460317,1,90.0,0.4375,0.5625,5.625,5.625,1.0,4.0,2.0,0.375,0.0,1.816752280527508e-16,clustered,18.033392693348645,5.590796019900497,89.45273631840796,0.39614427860696516,97.73323988732417,0.5646766169154229,1.0149253731343284,4.0,1.9950248756218905,0.37271973466003316,497.7513034385163,31.109456464907268,0.04415422885572139,0.03127590221338634,alf,16,0.003125,0.0625,0.002396055821489213,29006,evaluation,200
8.0,0.0046875,0.00014312249999989034,0.3315171654166976,0.0123,0.9991180555555556,1,76.0,0.4375,0.5625,4.75,4.75,1.0,4.0,2.0,0.31666666666666665,0.0,1.500452385284876e-07,clustered,18.033392693348645,4.766169154228856,76.2587064676617,0.42879353233830847,69.92492066091725,0.5646766169154229,1.0149253731343284,4.0,1.9950248756218905,0.3177446102819253,356.12469659179465,22.257793536987165,0.011504975124378109,0.006972266153658234,crdf,16,0.0046875,0.0003109452736318408,0.007517780313457661,29006,evaluation,200
8.0,0.0028125,0.00015350949999969998,0.19716627914531817,0.0123,0.9995064484126985,1,98.0,0.4375,0.5625,6.125,6.125,4.0,6.0,2.0,0.4083333333333333,0.0,7.701863657627405e-17,clustered,18.033392693348645,6.068097014925373,97.08955223880596,0.4092039800995025,104.60059610579182,0.5668532338308457,3.870646766169154,5.796019900497512,1.9900497512437811,0.4045398009950241,532.72646145906,33.29540384119125,0.033893034825870645,0.02456563467343657,crmf,16,0.0028125,0.0003109452736318408,0.003926590634706561,29006,evaluation,200
8.0,0.003125,0.0001748482187508671,1.1461937823321204,0.0123,0.999635540674603,1,114.0,0.4375,0.5625,7.125,7.125,6.0,6.0,2.0,0.475,0.0,-2.220446049250313e-16,clustered,18.033392693348645,7.266169154228856,116.2587064676617,0.14583333333333334,201.06192982974676,0.8541666666666666,6.0,6.0,1.3333333333333333,0.4844112769485889,1024.0,64.0,0.6666666666666666,0.21434406553459526,fixed_r_retained,16,0.003125,1.0,0.0,29006,evaluation,200
8.0,0.0028125,0.00017953321874983886,1.1898467859706443,0.0123,0.9995074404761906,1,79.0,0.5,0.5,4.9375,4.9375,1.0,3.0,2.0,0.32916666666666666,0.0,3.720183936904179e-14,clustered,18.033392693348645,5.064676616915423,81.03482587064677,0.15422885572139303,103.04418701883218,0.6940298507462687,1.3880597014925373,3.691542288557214,1.6119402985074627,0.33764510779436147,524.7997350698514,32.79998344186571,0.5398009950248757,0.20319186121640745,alf,16,0.0028125,0.0625,0.00238558454864426,29007,evaluation,200
8.0,0.005,0.00014104246875035642,0.9409838246578055,0.0123,0.9989415922619048,1,69.0,0.5,0.5,4.3125,4.3125,1.0,2.0,2.0,0.2875,0.0,4.6009184084484685e-11,clustered,18.033392693348645,4.356965174129353,69.71144278606965,0.3805970149253731,79.66361695904094,0.5124378109452736,1.0248756218905473,2.2587064676616917,1.9751243781094527,0.2904643449419579,405.7234695555427,25.35771684722142,0.1318407960199005,0.04094501664584649,crdf,16,0.005,0.0003109452736318408,0.0066567694425178825,29007,evaluation,200
8.0,0.0028125,0.00015413684374948389,0.3699629959654464,0.0123,0.9995691964285716,0,93.0,0.0,0.5,5.8125,5.8125,1.0,4.0,2.0,0.3875,0.5,0.17794889778960526,clustered,18.033392693348645,5.86318407960199,93.81094527363184,0.0,140.5056732681468,0.8407960199004975,1.7860696517412935,4.582089552238806,1.318407960199005,0.3908789386401339,715.5895178585711,44.72434486616069,0.8407960199004975,0.34259066152294887,crmf,16,0.0028125,0.0003109452736318408,0.005626603649745795,29007,evaluation,200
