bootstrap_unit,ci95_high,ci95_low,comparison,density,geometry,half_width,method,metric,n_bootstrap,n_pairs,paired_mean_difference
shared held-out evaluation seed,0.0749842972636815,-0.1364312810945274,knn - ALF,0.0123456790123456,clustered,18.0,knn,mean_interaction_out_degree,2000,50,-0.0334203980099502
shared held-out evaluation seed,0.0113463930348258,-0.0462255907960199,knn - ALF,0.0123456790123456,clustered,18.0,knn,mean_largest_scc_fraction,2000,50,-0.0152114427860696
shared held-out evaluation seed,-0.00208654644275,-0.0026810277551735,knn - ALF,0.0123456790123456,clustered,18.0,knn,radius_temporal_variation,2000,50,-0.002370606724785
shared held-out evaluation seed,0.0004857026801694,-0.0008555978111659,knn - ALF,0.0123456790123456,clustered,18.0,knn,velocity_dispersion,2000,50,-0.0002119377657166
shared held-out evaluation seed,-0.00010625,-0.0008874999999999,crmf - ALF,0.0330578512396694,elongated,11.0,crmf,contact_break_rate,2000,50,-0.0004874999999999
shared held-out evaluation seed,0.0002985074626865,-0.0002611940298507,crmf - ALF,0.0330578512396694,elongated,11.0,crmf,mean_fragmentation,2000,50,1.2437810945274304e-05
shared held-out evaluation seed,0.1808930348258706,0.0034143345771144,crmf - ALF,0.0330578512396694,elongated,11.0,crmf,mean_interaction_out_degree,2000,50,0.0892101990049751
shared held-out evaluation seed,0.0233148320895522,-0.0438902363184079,crmf - ALF,0.0330578512396694,elongated,11.0,crmf,mean_largest_scc_fraction,2000,50,-0.0092599502487562
shared held-out evaluation seed,0.0012136963743163,0.0005119992339449,crmf - ALF,0.0330578512396694,elongated,11.0,crmf,radius_temporal_variation,2000,50,0.0008506435924201
shared held-out evaluation seed,7.417080787778633e-06,-0.0001684631948219,crmf - ALF,0.0330578512396694,elongated,11.0,crmf,velocity_dispersion,2000,50,-6.739775774109472e-05
shared held-out evaluation seed,-0.000375,-0.0012562499999999,fixed_retained - ALF,0.0330578512396694,elongated,11.0,fixed_retained,contact_break_rate,2000,50,-0.00079375
shared held-out evaluation seed,0.0714130907960199,0.0174303482587064,fixed_retained - ALF,0.0330578512396694,elongated,11.0,fixed_retained,mean_fragmentation,2000,50,0.0414303482587064
shared held-out evaluation seed,-0.2166127176616916,-0.5906999378109452,fixed_retained - ALF,0.0330578512396694,elongated,11.0,fixed_retained,mean_interaction_out_degree,2000,50,-0.4037251243781095
shared held-out evaluation seed,0.0258395522388059,-0.0232046019900497,fixed_retained - ALF,0.0330578512396694,elongated,11.0,fixed_retained,mean_largest_scc_fraction,2000,50,0.0005286069651741
shared held-out evaluation seed,-0.0015657443906679,-0.0020816386490719,fixed_retained - ALF,0.0330578512396694,elongated,11.0,fixed_retained,radius_temporal_variation,2000,50,-0.0018086421816251
shared held-out evaluation seed,0.0040395796773656,0.0013321702337597,fixed_retained - ALF,0.0330578512396694,elongated,11.0,fixed_retained,velocity_dispersion,2000,50,0.0025979964002022
shared held-out evaluation seed,0.0019312499999999,0.00059375,knn - ALF,0.0330578512396694,elongated,11.0,knn,contact_break_rate,2000,50,0.00118125
shared held-out evaluation seed,0.0,-0.0033955223880597,knn - ALF,0.0330578512396694,elongated,11.0,knn,mean_fragmentation,2000,50,-0.0011318407960199
shared held-out evaluation seed,-0.2407360074626865,-0.5169110696517414,knn - ALF,0.0330578512396694,elongated,11.0,knn,mean_interaction_out_degree,2000,50,-0.3755534825870646
shared held-out evaluation seed,0.0090471082089551,-0.0730810012437811,knn - ALF,0.0330578512396694,elongated,11.0,knn,mean_largest_scc_fraction,2000,50,-0.0312810945273631
shared held-out evaluation seed,-0.0015667253146442,-0.0020913740220754,knn - ALF,0.0330578512396694,elongated,11.0,knn,radius_temporal_variation,2000,50,-0.0018086421816251
shared held-out evaluation seed,0.0002711784463996,-0.000285763748616,knn - ALF,0.0330578512396694,elongated,11.0,knn,velocity_dispersion,2000,50,-2.60902242060259e-05
shared held-out evaluation seed,-0.00043734375,-0.00105,crmf - ALF,0.0204081632653061,elongated,14.0,crmf,contact_break_rate,2000,50,-0.0007375
shared held-out evaluation seed,4.3532338308457375e-05,-0.0223320895522388,crmf - ALF,0.0204081632653061,elongated,14.0,crmf,mean_fragmentation,2000,50,-0.0096455223880597
shared held-out evaluation seed,0.2673578980099501,0.0945842661691543,crmf - ALF,0.0204081632653061,elongated,14.0,crmf,mean_interaction_out_degree,2000,50,0.1819402985074627
shared held-out evaluation seed,0.059563277363184,-0.006891013681592,crmf - ALF,0.0204081632653061,elongated,14.0,crmf,mean_largest_scc_fraction,2000,50,0.02625
shared held-out evaluation seed,0.0013307172070673,0.0005757524729748,crmf - ALF,0.0204081632653061,elongated,14.0,crmf,radius_temporal_variation,2000,50,0.0009262199767503
shared held-out evaluation seed,-7.443557225995592e-05,-0.0006526642276676,crmf - ALF,0.0204081632653061,elongated,14.0,crmf,velocity_dispersion,2000,50,-0.0003418737930082
shared held-out evaluation seed,-0.000425,-0.00134375,fixed_retained - ALF,0.0204081632653061,elongated,14.0,fixed_retained,contact_break_rate,2000,50,-0.0008625
shared held-out evaluation seed,0.0562829601990049,0.0166287313432835,fixed_retained - ALF,0.0204081632653061,elongated,14.0,fixed_retained,mean_fragmentation,2000,50,0.0346455223880597
shared held-out evaluation seed,0.218136815920398,-0.0950486629353234,fixed_retained - ALF,0.0204081632653061,elongated,14.0,fixed_retained,mean_interaction_out_degree,2000,50,0.0585447761194029
shared held-out evaluation seed,0.0667224813432835,0.0059549129353233,fixed_retained - ALF,0.0204081632653061,elongated,14.0,fixed_retained,mean_largest_scc_fraction,2000,50,0.0347263681592039
shared held-out evaluation seed,-0.0018505477398916,-0.0024982388824416,fixed_retained - ALF,0.0204081632653061,elongated,14.0,fixed_retained,radius_temporal_variation,2000,50,-0.002159754434921
shared held-out evaluation seed,0.004763753222245,0.0012723577338075,fixed_retained - ALF,0.0204081632653061,elongated,14.0,fixed_retained,velocity_dispersion,2000,50,0.002870616865422
shared held-out evaluation seed,0.001575,0.0001748437499999,knn - ALF,0.0204081632653061,elongated,14.0,knn,contact_break_rate,2000,50,0.0007875
shared held-out evaluation seed,0.0009017412935323,-0.0211654228855721,knn - ALF,0.0204081632653061,elongated,14.0,knn,mean_fragmentation,2000,50,-0.0087873134328358
shared held-out evaluation seed,0.2325471082089551,-0.021222014925373,knn - ALF,0.0204081632653061,elongated,14.0,knn,mean_interaction_out_degree,2000,50,0.1086318407960199
shared held-out evaluation seed,0.0541464552238805,-0.0240485074626865,knn - ALF,0.0204081632653061,elongated,14.0,knn,mean_largest_scc_fraction,2000,50,0.0148258706467661
shared held-out evaluation seed,-0.0018612934171927,-0.0024810107662459,knn - ALF,0.0204081632653061,elongated,14.0,knn,radius_temporal_variation,2000,50,-0.002159754434921
shared held-out evaluation seed,-0.0002982114287386,-0.0012704147378549,knn - ALF,0.0204081632653061,elongated,14.0,knn,velocity_dispersion,2000,50,-0.0007571167669319
shared held-out evaluation seed,-0.0005625,-0.00101875,crmf - ALF,0.0123456790123456,elongated,18.0,crmf,contact_break_rate,2000,50,-0.0007875
shared held-out evaluation seed,0.0206346393034825,-0.0078174751243781,crmf - ALF,0.0123456790123456,elongated,18.0,crmf,mean_fragmentation,2000,50,0.0063743781094527
shared held-out evaluation seed,0.2626141169154228,0.0916573383084576,crmf - ALF,0.0123456790123456,elongated,18.0,crmf,mean_interaction_out_degree,2000,50,0.179707711442786
shared held-out evaluation seed,0.0747019589552238,0.0111372823383084,crmf - ALF,0.0123456790123456,elongated,18.0,crmf,mean_largest_scc_fraction,2000,50,0.0397823383084577
shared held-out evaluation seed,0.0015255144485537,0.0006607445576136,crmf - ALF,0.0123456790123456,elongated,18.0,crmf,radius_temporal_variation,2000,50,0.0010936110683096
shared held-out evaluation seed,0.0017035265134456,-0.0007373356821442,crmf - ALF,0.0123456790123456,elongated,18.0,crmf,velocity_dispersion,2000,50,0.0004452633415205
shared held-out evaluation seed,-0.0001937499999999,-0.0008062499999999,fixed_retained - ALF,0.0123456790123456,elongated,18.0,fixed_retained,contact_break_rate,2000,50,-0.0005
shared held-out evaluation seed,0.1178421952736318,0.0540509950248756,fixed_retained - ALF,0.0123456790123456,elongated,18.0,fixed_retained,mean_fragmentation,2000,50,0.0840609452736318
shared held-out evaluation seed,-0.0963686256218907,-0.3709712375621891,fixed_retained - ALF,0.0123456790123456,elongated,18.0,fixed_retained,mean_interaction_out_degree,2000,50,-0.2351181592039801
shared held-out evaluation seed,0.035541355721393,-0.0342860696517412,fixed_retained - ALF,0.0123456790123456,elongated,18.0,fixed_retained,mean_largest_scc_fraction,2000,50,0.0004601990049751
shared held-out evaluation seed,-0.0017727457350965,-0.0024717773747129,fixed_retained - ALF,0.0123456790123456,elongated,18.0,fixed_retained,radius_temporal_variation,2000,50,-0.0021054113615162
shared held-out evaluation seed,0.0065450829807274,0.0026913871610256,fixed_retained - ALF,0.0123456790123456,elongated,18.0,fixed_retained,velocity_dispersion,2000,50,0.004452492040727
shared held-out evaluation seed,0.0019875,0.00043125,knn - ALF,0.0123456790123456,elongated,18.0,knn,contact_break_rate,2000,50,0.00108125
shared held-out evaluation seed,-0.0035304726368159,-0.0331730410447761,knn - ALF,0.0123456790123456,elongated,18.0,knn,mean_fragmentation,2000,50,-0.0165547263681592
shared held-out evaluation seed,-0.3181651119402985,-0.582652052238806,knn - ALF,0.0123456790123456,elongated,18.0,knn,mean_interaction_out_degree,2000,50,-0.446865671641791
shared held-out evaluation seed,0.0049137126865671,-0.0735587686567164,knn - ALF,0.0123456790123456,elongated,18.0,knn,mean_largest_scc_fraction,2000,50,-0.0340360696517413
shared held-out evaluation seed,-0.0017512646874724,-0.0024538519536346,knn - ALF,0.0123456790123456,elongated,18.0,knn,radius_temporal_variation,2000,50,-0.0021054113615162
shared held-out evaluation seed,-0.0003355654336344,-0.0023897834778957,knn - ALF,0.0123456790123456,elongated,18.0,knn,velocity_dispersion,2000,50,-0.0012521001166334
shared held-out evaluation seed,0.00013125,-0.00045,crmf - ALF,0.0330578512396694,uniform,11.0,crmf,contact_break_rate,2000,50,-0.00015625
shared held-out evaluation seed,0.0002238805970149,0.0,crmf - ALF,0.0330578512396694,uniform,11.0,crmf,mean_fragmentation,2000,50,7.462686567164179e-05
shared held-out evaluation seed,-0.0023020833333335,-0.1956808146766169,crmf - ALF,0.0330578512396694,uniform,11.0,crmf,mean_interaction_out_degree,2000,50,-0.0984577114427861
shared held-out evaluation seed,0.0347885572139303,-0.0001616915422885,crmf - ALF,0.0330578512396694,uniform,11.0,crmf,mean_largest_scc_fraction,2000,50,0.0138930348258706
shared held-out evaluation seed,0.0016489321104213,0.0008897437616132,crmf - ALF,0.0330578512396694,uniform,11.0,crmf,radius_temporal_variation,2000,50,0.0012564968368081
shared held-out evaluation seed,9.859517672378152e-05,3.621499683307818e-05,crmf - ALF,0.0330578512396694,uniform,11.0,crmf,velocity_dispersion,2000,50,6.696932070819846e-05
shared held-out evaluation seed,8.124999999999998e-05,-0.00059375,fixed_retained - ALF,0.0330578512396694,uniform,11.0,fixed_retained,contact_break_rate,2000,50,-0.0002625
shared held-out evaluation seed,0.0,-0.0005597014925373,fixed_retained - ALF,0.0330578512396694,uniform,11.0,fixed_retained,mean_fragmentation,2000,50,-0.0001865671641791
shared held-out evaluation seed,0.4732125310945271,0.1706637126865671,fixed_retained - ALF,0.0330578512396694,uniform,11.0,fixed_retained,mean_interaction_out_degree,2000,50,0.3297139303482586
shared held-out evaluation seed,0.0378980099502487,9.95024875621886e-05,fixed_retained - ALF,0.0330578512396694,uniform,11.0,fixed_retained,mean_largest_scc_fraction,2000,50,0.0154353233830845
shared held-out evaluation seed,-0.0008529771402811,-0.0012578791782527,fixed_retained - ALF,0.0330578512396694,uniform,11.0,fixed_retained,radius_temporal_variation,2000,50,-0.0010526008735787
shared held-out evaluation seed,-5.457494915819602e-05,-0.0003370207547109,fixed_retained - ALF,0.0330578512396694,uniform,11.0,fixed_retained,velocity_dispersion,2000,50,-0.0001847806594943
shared held-out evaluation seed,0.0013875,0.0007437499999999,knn - ALF,0.0330578512396694,uniform,11.0,knn,contact_break_rate,2000,50,0.00106875
shared held-out evaluation seed,0.0,-0.0011194029850746,knn - ALF,0.0330578512396694,uniform,11.0,knn,mean_fragmentation,2000,50,-0.0003731343283582
shared held-out evaluation seed,0.1420447761194028,-0.0937596393034826,knn - ALF,0.0330578512396694,uniform,11.0,knn,mean_interaction_out_degree,2000,50,0.0210323383084575
shared held-out evaluation seed,0.0381347947761194,7.46268656716409e-05,knn - ALF,0.0330578512396694,uniform,11.0,knn,mean_largest_scc_fraction,2000,50,0.0155970149253731
shared held-out evaluation seed,-0.0008607009710737,-0.0012509907922275,knn - ALF,0.0330578512396694,uniform,11.0,knn,radius_temporal_variation,2000,50,-0.0010526008735787
shared held-out evaluation seed,-0.000132553237305,-0.0004711422889114,knn - ALF,0.0330578512396694,uniform,11.0,knn,velocity_dispersion,2000,50,-0.0002813012003452
shared held-out evaluation seed,-4.999999999999998e-05,-0.00049390625,crmf - ALF,0.0204081632653061,uniform,14.0,crmf,contact_break_rate,2000,50,-0.0002749999999999
shared held-out evaluation seed,0.0040298507462686,0.0005097947761194,crmf - ALF,0.0204081632653061,uniform,14.0,crmf,mean_fragmentation,2000,50,0.0019278606965174
shared held-out evaluation seed,0.0436641791044776,-0.1060904850746269,crmf - ALF,0.0204081632653061,uniform,14.0,crmf,mean_interaction_out_degree,2000,50,-0.0322450248756219
shared held-out evaluation seed,0.0481965174129353,0.0021382151741293,crmf - ALF,0.0204081632653061,uniform,14.0,crmf,mean_largest_scc_fraction,2000,50,0.0217475124378109
shared held-out evaluation seed,0.0010483627005807,0.0004019478650743,crmf - ALF,0.0204081632653061,uniform,14.0,crmf,radius_temporal_variation,2000,50,0.0007113531898803
shared held-out evaluation seed,0.0008769849968639,0.0003697025117295,crmf - ALF,0.0204081632653061,uniform,14.0,crmf,velocity_dispersion,2000,50,0.0006211577032978
shared held-out evaluation seed,8.749999999999999e-05,-0.0003875,fixed_retained - ALF,0.0204081632653061,uniform,14.0,fixed_retained,contact_break_rate,2000,50,-0.00015
shared held-out evaluation seed,0.0050435323383084,0.0008823072139303,fixed_retained - ALF,0.0204081632653061,uniform,14.0,fixed_retained,mean_fragmentation,2000,50,0.0028233830845771
shared held-out evaluation seed,0.0408785758706466,-0.129139303482587,fixed_retained - ALF,0.0204081632653061,uniform,14.0,fixed_retained,mean_interaction_out_degree,2000,50,-0.0462935323383084
shared held-out evaluation seed,0.0489384328358208,0.0021579601990049,fixed_retained - ALF,0.0204081632653061,uniform,14.0,fixed_retained,mean_largest_scc_fraction,2000,50,0.0229850746268656
shared held-out evaluation seed,-0.0006091183975481,-0.0010170578495309,fixed_retained - ALF,0.0204081632653061,uniform,14.0,fixed_retained,radius_temporal_variation,2000,50,-0.0008078738256471
shared held-out evaluation seed,0.0010154586065995,0.0002987287633582,fixed_retained - ALF,0.0204081632653061,uniform,14.0,fixed_retained,velocity_dispersion,2000,50,0.0006628683684562
shared held-out evaluation seed,0.0018564062499999,0.0003875,knn - ALF,0.0204081632653061,uniform,14.0,knn,contact_break_rate,2000,50,0.0009687499999999
shared held-out evaluation seed,0.001449315920398,-0.001125777363184,knn - ALF,0.0204081632653061,uniform,14.0,knn,mean_fragmentation,2000,50,-6.218905472636818e-05
shared held-out evaluation seed,0.092414645522388,-0.060797263681592,knn - ALF,0.0204081632653061,uniform,14.0,knn,mean_interaction_out_degree,2000,50,0.0164925373134328
shared held-out evaluation seed,0.0374508706467661,-0.0139022077114427,knn - ALF,0.0204081632653061,uniform,14.0,knn,mean_largest_scc_fraction,2000,50,0.0108271144278606
shared held-out evaluation seed,-0.0006181941615767,-0.0010107446174194,knn - ALF,0.0204081632653061,uniform,14.0,knn,radius_temporal_variation,2000,50,-0.0008078738256471
shared held-out evaluation seed,-0.0002899485405276,-0.0007711171290402,knn - ALF,0.0204081632653061,uniform,14.0,knn,velocity_dispersion,2000,50,-0.0004938906450941
shared held-out evaluation seed,5.624999999999999e-05,-0.00028125,crmf - ALF,0.0123456790123456,uniform,18.0,crmf,contact_break_rate,2000,50,-0.0001125
shared held-out evaluation seed,0.0250073072139303,-0.0026060323383084,crmf - ALF,0.0123456790123456,uniform,18.0,crmf,mean_fragmentation,2000,50,0.0101430348258706
shared held-out evaluation seed,0.0242109763681591,-0.0667193718905472,crmf - ALF,0.0123456790123456,uniform,18.0,crmf,mean_interaction_out_degree,2000,50,-0.0214241293532338
shared held-out evaluation seed,0.0342810945273631,-0.0100998134328358,crmf - ALF,0.0123456790123456,uniform,18.0,crmf,mean_largest_scc_fraction,2000,50,0.012431592039801
shared held-out evaluation seed,0.0003157178173891,-5.849076503769679e-05,crmf - ALF,0.0123456790123456,uniform,18.0,crmf,radius_temporal_variation,2000,50,0.0001204746511942
shared held-out evaluation seed,0.0034813275643818,0.0010595340345171,crmf - ALF,0.0123456790123456,uniform,18.0,crmf,velocity_dispersion,2000,50,0.0020291691694592
shared held-out evaluation seed,5e-05,-0.00015625,fixed_retained - ALF,0.0123456790123456,uniform,18.0,fixed_retained,contact_break_rate,2000,50,-5.6250000000000005e-05
shared held-out evaluation seed,0.0074256840796019,-0.0125129042288557,fixed_retained - ALF,0.0123456790123456,uniform,18.0,fixed_retained,mean_fragmentation,2000,50,-0.0022201492537313
shared held-out evaluation seed,0.1088322450248756,0.0338533893034826,fixed_retained - ALF,0.0123456790123456,uniform,18.0,fixed_retained,mean_interaction_out_degree,2000,50,0.0706281094527363
shared held-out evaluation seed,0.0496539179104477,0.0112792288557213,fixed_retained - ALF,0.0123456790123456,uniform,18.0,fixed_retained,mean_largest_scc_fraction,2000,50,0.0285012437810945
shared held-out evaluation seed,-0.0003087244347253,-0.0006369907191211,fixed_retained - ALF,0.0123456790123456,uniform,18.0,fixed_retained,radius_temporal_variation,2000,50,-0.0004641033915499
shared held-out evaluation seed,-0.0002934991523163,-0.0010354826034249,fixed_retained - ALF,0.0123456790123456,uniform,18.0,fixed_retained,velocity_dispersion,2000,50,-0.0006282560883381
shared held-out evaluation seed,0.00085,0.0004,knn - ALF,0.0123456790123456,uniform,18.0,knn,contact_break_rate,2000,50,0.00063125
shared held-out evaluation seed,-0.006063277363184,-0.028529539800995,knn - ALF,0.0123456790123456,uniform,18.0,knn,mean_fragmentation,2000,50,-0.016592039800995
shared held-out evaluation seed,0.117705223880597,0.0193583644278607,knn - ALF,0.0123456790123456,uniform,18.0,knn,mean_interaction_out_degree,2000,50,0.0644465174129353
shared held-out evaluation seed,0.0588877487562188,0.0230780472636816,knn - ALF,0.0123456790123456,uniform,18.0,knn,mean_largest_scc_fraction,2000,50,0.0398756218905472
shared held-out evaluation seed,-0.0003030462577429,-0.0006325994797283,knn - ALF,0.0123456790123456,uniform,18.0,knn,radius_temporal_variation,2000,50,-0.0004641033915499
shared held-out evaluation seed,-0.0008987185147,-0.0020817860680352,knn - ALF,0.0123456790123456,uniform,18.0,knn,velocity_dispersion,2000,50,-0.0014935494426011
