bootstrap_unit,ci95_high,ci95_low,comparison,density,half_width,metric,n_bootstrap,n_pairs,paired_mean_difference
shared evaluation seed,-8.600713463930347,-9.97786769278607,CRDF - ALF,0.04938271604938271,9.0,mean_degree_error_sq,2000,50,-9.292761194029852
shared evaluation seed,0.28558140625,0.24321234375,CRDF - ALF,0.04938271604938271,9.0,radius_oscillation_frequency,2000,50,0.264675
shared evaluation seed,0.0,0.0,CRMF - ALF,0.04938271604938271,9.0,final_fragmentation,2000,50,0.0
shared evaluation seed,0.0,0.0,CRMF - ALF,0.04938271604938271,9.0,mean_fragmentation,2000,50,0.0
shared evaluation seed,0.01875,0.0,CRMF - ALF,0.04938271604938271,9.0,final_largest_scc_fraction,2000,50,0.00625
shared evaluation seed,0.017723880597014928,0.0,CRMF - ALF,0.04938271604938271,9.0,mean_largest_scc_fraction,2000,50,0.005907960199004976
shared evaluation seed,-0.08514070273631841,-0.3065837997512438,CRMF - ALF,0.04938271604938271,9.0,mean_degree,2000,50,-0.1922014925373134
shared evaluation seed,-0.0003087315334241454,-0.15034011096715355,CRMF - ALF,0.04938271604938271,9.0,mean_radius,2000,50,-0.0770290295035303
shared evaluation seed,-1.890738463018596,-7.820151918637846,CRMF - ALF,0.04938271604938271,9.0,mean_interaction_area,2000,50,-4.871342802756235
shared evaluation seed,0.0011189062499999992,0.00036875000000000005,CRMF - ALF,0.04938271604938271,9.0,neighbor_loss_rate,2000,50,0.00075625
shared evaluation seed,0.00013482328183457066,-0.0002147731781395192,CRMF - ALF,0.04938271604938271,9.0,polar_order,2000,50,-1.6645215215318478e-05
shared evaluation seed,-1.4101495993640225e-06,-1.1288109993961338e-05,CRMF - ALF,0.04938271604938271,9.0,velocity_dispersion,2000,50,-5.993268286457083e-06
shared evaluation seed,3.024147995982443e-06,-1.653895027200972e-05,CRMF - ALF,0.04938271604938271,9.0,control_energy,2000,50,-6.056821523639493e-06
shared evaluation seed,0.0017660369325750618,0.000996767852759614,CRMF - ALF,0.04938271604938271,9.0,radius_temporal_variation,2000,50,0.0013471168068380163
shared evaluation seed,0.014665271106087356,0.00911790417819429,CRMF - ALF,0.04938271604938271,9.0,radius_command_temporal_variation,2000,50,0.01138957906995288
shared evaluation seed,0.0,0.0,CRMF - ALF,0.04938271604938271,9.0,radius_min_saturation_fraction,2000,50,0.0
shared evaluation seed,-0.15340080845771148,-0.2116004353233831,CRMF - ALF,0.04938271604938271,9.0,radius_max_saturation_fraction,2000,50,-0.1817848258706468
shared evaluation seed,-3.3535469527363184,-3.6123432835820894,CRMF - ALF,0.04938271604938271,9.0,mean_degree_error,2000,50,-3.479987562189055
shared evaluation seed,-13.627349036069653,-15.336321050995023,CRMF - ALF,0.04938271604938271,9.0,mean_degree_error_sq,2000,50,-14.459241293532338
shared evaluation seed,0.00556875,0.00105578125,CRMF - ALF,0.04938271604938271,9.0,radius_oscillation_frequency,2000,50,0.00279375
shared evaluation seed,0.0,0.0,CRDF - ALF,0.03305785123966942,11.0,final_fragmentation,2000,50,0.0
shared evaluation seed,0.004067164179104478,0.0,CRDF - ALF,0.03305785123966942,11.0,mean_fragmentation,2000,50,0.0013619402985074627
shared evaluation seed,-0.00625,-0.055,CRDF - ALF,0.03305785123966942,11.0,final_largest_scc_fraction,2000,50,-0.03
shared evaluation seed,-0.016342817164179103,-0.06062468905472637,CRDF - ALF,0.03305785123966942,11.0,mean_largest_scc_fraction,2000,50,-0.0362997512437811
shared evaluation seed,-1.6031745957711443,-1.8771744402985076,CRDF - ALF,0.03305785123966942,11.0,mean_degree,2000,50,-1.744483830845771
shared evaluation seed,-1.395094427070644,-1.5328412289938071,CRDF - ALF,0.03305785123966942,11.0,mean_radius,2000,50,-1.460936934526239
shared evaluation seed,-57.63318675446055,-63.550924394460175,CRDF - ALF,0.03305785123966942,11.0,mean_interaction_area,2000,50,-60.66538505018284
shared evaluation seed,0.006693749999999999,0.00553125,CRDF - ALF,0.03305785123966942,11.0,neighbor_loss_rate,2000,50,0.0061125
shared evaluation seed,-0.0025750774006400236,-0.011603798957177959,CRDF - ALF,0.03305785123966942,11.0,polar_order,2000,50,-0.006425221367790113
shared evaluation seed,0.000504949421118504,0.00017309804078980892,CRDF - ALF,0.03305785123966942,11.0,velocity_dispersion,2000,50,0.0003062709292608239
shared evaluation seed,5.396520602078492e-05,4.383202981121309e-06,CRDF - ALF,0.03305785123966942,11.0,control_energy,2000,50,2.8469231411668712e-05
shared evaluation seed,0.029475272754438463,0.025332633155800196,CRDF - ALF,0.03305785123966942,11.0,radius_temporal_variation,2000,50,0.027404303228976086
shared evaluation seed,0.3611653554551765,0.2996601628752801,CRDF - ALF,0.03305785123966942,11.0,radius_command_temporal_variation,2000,50,0.329693731218379
shared evaluation seed,0.0,0.0,CRDF - ALF,0.03305785123966942,11.0,radius_min_saturation_fraction,2000,50,0.0
shared evaluation seed,-0.39587842039801,-0.4841438121890547,CRDF - ALF,0.03305785123966942,11.0,radius_max_saturation_fraction,2000,50,-0.43837686567164175
