ci95_high,ci95_low,comparison,density,metric,n_pairs,paired_mean_difference,positive_fraction
-0.005793749999999999,-0.0068251562500000005,alf - stardisplay,0.02040816326530612,contact_break_rate,50,-0.00628125,0.0
-0.00578125,-0.0068625000000000005,alf - stardisplay,0.02040816326530612,neighbor_loss_rate,50,-0.00626875,0.0
0.034026203893627795,0.017368331374940676,alf - stardisplay,0.02040816326530612,polar_order,50,0.025224583513438883,1.0
-0.0032486258246323444,-0.005749779700957933,alf - stardisplay,0.02040816326530612,velocity_dispersion,50,-0.004413606892313729,0.0
0.0,0.0,alf - lint,0.02040816326530612,final_fragmentation,50,0.0,0.0
0.0012935323383084579,-0.00047263681592039794,alf - lint,0.02040816326530612,mean_fragmentation,50,0.0002736318407960199,0.04
-0.005,-0.05503125,alf - lint,0.02040816326530612,final_largest_scc_fraction,50,-0.0275,0.0
-0.005783582089552241,-0.053134950248756224,alf - lint,0.02040816326530612,mean_largest_scc_fraction,50,-0.02677238805970149,0.0
-0.022380907960198936,-0.10758768656716405,alf - lint,0.02040816326530612,mean_degree,50,-0.06353855721393026,0.18
-0.021821828358208888,-0.10485012437810934,alf - lint,0.02040816326530612,mean_interaction_out_degree,50,-0.06353855721393026,0.18
-0.10468998724542627,-0.18803426872395745,alf - lint,0.02040816326530612,mean_radius,50,-0.1445558726762447,0.08
-24.12349005950546,-42.5854454267971,alf - lint,0.02040816326530612,mean_radius_footprint,50,-32.85184965879026,0.08
-1.5095194363976876,-2.6447482254134154,alf - lint,0.02040816326530612,mean_radius_sq,50,-2.053240603674391,0.08
-0.001443687810945281,-0.007064376036484243,alf - lint,0.02040816326530612,mean_normalized_comm_cost,50,-0.004235903814262024,0.18
-0.07445817786069651,-0.1307490671641791,alf - lint,0.02040816326530612,radius_max_saturation_fraction,50,-0.10212064676616915,0.0
0.00044374999999999997,0.00018125,alf - lint,0.02040816326530612,contact_break_rate,50,0.00030625,0.42
0.00042500000000000003,0.00017499999999999997,alf - lint,0.02040816326530612,neighbor_loss_rate,50,0.00029374999999999996,0.42
-0.00045706331913563584,-0.011946063019142942,alf - lint,0.02040816326530612,polar_order,50,-0.0046578217603873194,0.28
0.0008571707759246128,0.00015796655164117374,alf - lint,0.02040816326530612,velocity_dispersion,50,0.00045754157157427836,0.6
0.0,-0.01125,alf - stardisplay,0.03305785123966942,final_fragmentation,50,-0.00375,0.0
-0.008065143034825875,-0.0297392723880597,alf - stardisplay,0.03305785123966942,mean_fragmentation,50,-0.017394278606965175,0.0
0.2125,0.1175,alf - stardisplay,0.03305785123966942,final_largest_scc_fraction,50,0.16375,0.7
0.2278928793532338,0.14408473258706467,alf - stardisplay,0.03305785123966942,mean_largest_scc_fraction,50,0.1846828358208955,0.88
2.747406871890547,2.4764869402985075,alf - stardisplay,0.03305785123966942,mean_degree,50,2.6150062189054726,1.0
2.746371113184079,2.477112562189055,alf - stardisplay,0.03305785123966942,mean_interaction_out_degree,50,2.6150062189054726,1.0
2.336087641448514,2.203797277370885,alf - stardisplay,0.03305785123966942,mean_radius,50,2.270254989591036,1.0
461.1716199412129,428.5484240369583,alf - stardisplay,0.03305785123966942,mean_radius_footprint,50,445.154756115052,1.0
28.812394958965704,26.82704895948907,alf - stardisplay,0.03305785123966942,mean_radius_sq,50,27.82217225719075,1.0
0.18344749170812605,0.16541551616915423,alf - stardisplay,0.03305785123966942,mean_normalized_comm_cost,50,0.17433374792703152,1.0
0.5254542910447761,0.4431881218905473,alf - stardisplay,0.03305785123966942,radius_max_saturation_fraction,50,0.4856032338308458,1.0
-0.0086,-0.0101125,alf - stardisplay,0.03305785123966942,contact_break_rate,50,-0.00933125,0.0
-0.008768593750000001,-0.010293906249999998,alf - stardisplay,0.03305785123966942,neighbor_loss_rate,50,-0.00946875,0.0
0.03331481250093845,0.007516176576497273,alf - stardisplay,0.03305785123966942,polar_order,50,0.017246660324580252,1.0
-0.0009113654916659575,-0.0020207913590771284,alf - stardisplay,0.03305785123966942,velocity_dispersion,50,-0.0014019471564882913,0.0
0.0,0.0,alf - lint,0.03305785123966942,final_fragmentation,50,0.0,0.0
0.0,0.0,alf - lint,0.03305785123966942,mean_fragmentation,50,0.0,0.0
0.02875,0.0,alf - lint,0.03305785123966942,final_largest_scc_fraction,50,0.01,0.04
0.0231515858208955,-0.0005287624378109415,alf - lint,0.03305785123966942,mean_largest_scc_fraction,50,0.008121890547263684,0.06
0.0783541666666665,-0.0575259639303483,alf - lint,0.03305785123966942,mean_degree,50,0.010516169154228816,0.44
0.07814785447761191,-0.05469605099502488,alf - lint,0.03305785123966942,mean_interaction_out_degree,50,0.010516169154228816,0.44
-0.009868498594411928,-0.1201204786035738,alf - lint,0.03305785123966942,mean_radius,50,-0.06207773067587059,0.4
-1.0504837503942401,-24.959718479605815,alf - lint,0.03305785123966942,mean_radius_footprint,50,-12.707327094229957,0.4
-0.09925289181995536,-1.5669139967366983,alf - lint,0.03305785123966942,mean_radius_sq,50,-0.7942079433893723,0.4
0.005296289386401338,-0.0036486214759535573,alf - lint,0.03305785123966942,mean_normalized_comm_cost,50,0.0007010779436152637,0.44
-0.0033952114427860686,-0.04669231965174129,alf - lint,0.03305785123966942,radius_max_saturation_fraction,50,-0.024359452736318402,0.3
0.00053125,0.00013749999999999998,alf - lint,0.03305785123966942,contact_break_rate,50,0.000325,0.5
0.0005250000000000001,0.00013734375,alf - lint,0.03305785123966942,neighbor_loss_rate,50,0.00033125,0.52
-0.0005420554982671484,-0.0051935548184443864,alf - lint,0.03305785123966942,polar_order,50,-0.0025958624112093465,0.34
0.0002094815783347764,5.2614305364398245e-05,alf - lint,0.03305785123966942,velocity_dispersion,50,0.00012788419905411722,0.68
0.0,0.0,alf - stardisplay,0.04938271604938271,final_fragmentation,50,0.0,0.0
0.0,-0.003345771144278607,alf - stardisplay,0.04938271604938271,mean_fragmentation,50,-0.001480099502487562,0.0
0.1275,0.0575,alf - stardisplay,0.04938271604938271,final_largest_scc_fraction,50,0.09,0.5
0.14334592661691542,0.07193034825870646,alf - stardisplay,0.04938271604938271,mean_largest_scc_fraction,50,0.10699626865671641,0.62
3.7112100435323385,3.3715102611940297,alf - stardisplay,0.04938271604938271,mean_degree,50,3.5389863184079604,1.0
3.7053053482587064,3.3750962375621887,alf - stardisplay,0.04938271604938271,mean_interaction_out_degree,50,3.5389863184079604,1.0
2.141529576786729,1.9990937520269718,alf - stardisplay,0.04938271604938271,mean_radius,50,2.073076452385807,1.0
393.7886299481951,359.79449210125574,alf - stardisplay,0.04938271604938271,mean_radius_footprint,50,376.6204768000843,1.0
24.617152138491917,22.488566085248237,alf - stardisplay,0.04938271604938271,mean_radius_sq,50,23.53877980000527,1.0
0.24759619610281924,0.22499436152570482,alf - stardisplay,0.04938271604938271,mean_normalized_comm_cost,50,0.23593242122719738,1.0
0.2626742848258707,0.20321517412935325,alf - stardisplay,0.04938271604938271,radius_max_saturation_fraction,50,0.2329912935323383,1.0
-0.010025,-0.01161890625,alf - stardisplay,0.04938271604938271,contact_break_rate,50,-0.01080625,0.0
-0.010199843750000001,-0.01175640625,alf - stardisplay,0.04938271604938271,neighbor_loss_rate,50,-0.01095625,0.0
0.010902845320483858,0.0026953162253717813,alf - stardisplay,0.04938271604938271,polar_order,50,0.006264179265765546,0.98
-0.00033200463338225534,-0.000656205700027396,alf - stardisplay,0.04938271604938271,velocity_dispersion,50,-0.0004900362198183158,0.0
0.0,0.0,alf - lint,0.04938271604938271,final_fragmentation,50,0.0,0.0
0.0,0.0,alf - lint,0.04938271604938271,mean_fragmentation,50,0.0,0.0
0.0,0.0,alf - lint,0.04938271604938271,final_largest_scc_fraction,50,0.0,0.0
0.0018283582089552231,0.0,alf - lint,0.04938271604938271,mean_largest_scc_fraction,50,0.0006094527363184076,0.02
0.5718802860696516,0.3199291044776119,alf - lint,0.04938271604938271,mean_degree,50,0.4483271144278607,0.8
0.5783894589552239,0.313494092039801,alf - lint,0.04938271604938271,mean_interaction_out_degree,50,0.4483271144278607,0.8
0.21111163843453656,0.08150342566115465,alf - lint,0.04938271604938271,mean_radius,50,0.1486698553744282,0.76
49.36742054785222,23.488324582483408,alf - lint,0.04938271604938271,mean_radius_footprint,50,36.37005582756855,0.8
