agent_collision_rate,components,contact_break_rate,density,edge_persistence,final_edge_count,final_fragmentation,final_largest_scc_fraction,final_mean_in_degree,final_mean_out_degree,final_min_in_degree,final_min_out_degree,final_n_scc,final_normalized_comm_cost,final_rooted_fraction,final_sym_lambda2,fragmentation,half_width,largest_component_fraction,mean_degree,mean_edge_count,mean_fragmentation,mean_interaction_out_degree,mean_largest_component_fraction,mean_largest_scc_fraction,mean_min_in_degree,mean_min_out_degree,mean_n_scc,mean_normalized_comm_cost,mean_radius,mean_radius_footprint,mean_radius_sq,mean_rooted_fraction,mean_sym_lambda2,method,minimum_agent_distance,minimum_obstacle_clearance,n_agents,neighbor_loss_rate,obstacle_collision_rate,obstacle_proximity_rate,polar_order,radius_max_saturation_fraction,radius_temporal_variation,rollout_wall_s,seed,stardisplay_nc,steps,velocity_dispersion
0.0,1.0,0.000625,0.012345679012345678,0.99984375,42.0,0.0,1.0,2.625,2.625,1.0,1.0,1.0,0.175,1.0,0.06790838452361393,0.0,18.0,1.0,2.6181592039800994,41.89054726368159,0.003109452736318408,2.6181592039800994,0.9968905472636815,0.9968905472636815,1.0,1.0,1.0248756218905473,0.17454394693200662,8.0,1024.0,64.0,0.9751243781094527,0.07092349054565382,alf,1.9516825794647386,36.0,16,0.000625,0.0,0.0,0.9360257102739223,1.0,0.0,0.5028898999989906,20025,15.0,200,0.012939851658893813
0.0,1.0,0.000625,0.012345679012345678,0.9997395833333332,46.0,0.0,1.0,2.875,2.875,1.0,1.0,1.0,0.19166666666666668,1.0,0.1942055283619446,0.0,18.0,1.0,2.814054726368159,45.024875621890544,0.026741293532338308,2.814054726368159,0.9732587064676617,0.9732587064676617,1.0,1.0,1.1393034825870647,0.18760364842454397,8.0,1024.0,64.0,0.8706467661691543,0.16927856296147764,alf,0.7656753810954865,36.0,16,0.000625,0.0,0.0,0.9215238245625683,1.0,0.0,0.5024947999991127,20026,15.0,200,0.021224571667685068
0.0,1.0,0.00125,0.012345679012345678,0.9993760055332521,50.0,0.0,1.0,3.125,3.125,1.0,1.0,1.0,0.20833333333333334,1.0,0.17768604636211022,0.0,18.0,1.0,3.1007462686567164,49.61194029850746,0.014614427860696517,3.1007462686567164,0.9853855721393034,0.9853855721393034,0.9054726368159204,0.9054726368159204,1.199004975124378,0.2067164179104478,8.0,1024.0,64.0,0.9054726368159204,0.16100316458878647,alf,1.0014213330458848,36.0,16,0.00125,0.0,0.0,0.957662352801125,1.0,0.0,0.5262610999998287,20027,15.0,200,0.018015923910074783
0.0,1.0,0.0015625,0.012345679012345678,0.9993999165101232,45.0,0.0,1.0,2.8125,2.8125,1.0,1.0,1.0,0.1875,1.0,0.07337952456751759,0.0,18.0,1.0,2.764925373134328,44.23880597014925,0.05037313432835821,2.764925373134328,0.9496268656716418,0.8560323383084577,0.9900497512437811,0.9900497512437811,1.3781094527363185,0.1843283582089552,7.7195787943777,960.0,60.0,0.7602611940298507,0.0669801207681794,alf,1.159959065221675,36.0,16,0.0015625,0.0,0.0,0.9768506369639766,0.8125,0.0,0.5509598999997252,20028,15.0,200,0.011261894116373038
0.0,1.0,0.0,0.012345679012345678,1.0,50.0,0.0,1.0,3.125,3.125,1.0,1.0,1.0,0.20833333333333334,1.0,0.15372969575016124,0.0,18.0,1.0,3.0982587064676617,49.57213930348259,0.007462686567164179,3.0982587064676617,0.9925373134328358,0.9925373134328358,0.8805970149253731,0.8805970149253731,1.1194029850746268,0.20655058043117744,7.93301270189225,1008.0,63.0,0.8805970149253731,0.1354955262438372,alf,1.5421437688437314,36.0,16,0.0,0.0,0.0,0.9410530126150256,0.9375,0.0,0.5659006999994745,20029,15.0,200,0.006778094237690663
0.0,1.0,0.0009375,0.012345679012345678,0.9997552083333333,55.0,0.0,1.0,3.4375,3.4375,2.0,2.0,1.0,0.22916666666666666,1.0,0.4189225298120764,0.0,18.0,1.0,3.2412935323383083,51.86069651741293,0.1302860696517413,3.2412935323383083,0.8697139303482587,0.869092039800995,1.5621890547263682,1.5621890547263682,1.6666666666666667,0.21608623548922054,7.732384077708481,959.971314639105,59.99820716494406,0.5870646766169154,0.2400332999040213,alf,0.4574418660564373,36.0,16,0.0009375,0.0,0.0,0.8379545011287576,0.6259328358208955,0.0013397459611841573,0.5978447999987111,20030,15.0,200,0.01731535630398486
0.0,1.0,0.000625,0.012345679012345678,0.9997395833333335,65.0,0.0,0.9375,4.0625,4.0625,0.0,1.0,2.0,0.2708333333333333,0.0625,0.6602985128741874,0.0,18.0,1.0,3.730721393034826,59.691542288557216,0.027052238805970148,3.730721393034826,0.9729477611940298,0.9048507462686567,0.0,1.0,2.174129353233831,0.24871475953565506,7.7320508075688545,960.0,60.0,0.05783582089552239,0.5446504929727117,alf,1.0147619727322035,36.0,16,0.000625,0.0,0.0,0.8916593401597451,0.75,0.0,0.5930845000002591,20031,15.0,200,0.05096325491800173
0.0,2.0,0.0021875,0.012345679012345678,0.9993125,37.0,0.375,0.625,2.3125,2.3125,1.0,1.0,2.0,0.15416666666666667,0.0,2.0353910824122707e-05,0.375,18.0,0.625,2.3037935323383083,36.86069651741293,0.3199626865671642,2.3037935323383083,0.6800373134328358,0.6800373134328358,1.0,1.0,1.9800995024875623,0.15358623548922057,7.8693581051807175,992.7689480622689,62.04805925389181,0.21890547263681592,0.026093873649166644,alf,2.449357422914469,36.0,16,0.0021875,0.0,0.0,0.8992058484751707,0.8753109452736318,0.00033493649030260335,0.5396154999998544,20032,15.0,200,0.01659033681001104
0.0,1.0,0.0,0.012345679012345678,1.0,53.0,0.0,1.0,3.3125,3.3125,1.0,1.0,1.0,0.22083333333333333,1.0,0.245900586738939,0.0,18.0,1.0,3.226057213930348,51.61691542288557,0.025808457711442787,3.226057213930348,0.9741915422885572,0.9645522388059702,0.9203980099502488,0.9203980099502488,1.2139303482587065,0.21507048092868988,7.7320508075688545,960.0,60.0,0.9203980099502488,0.22164228388166857,alf,0.34269012018321937,36.0,16,0.0,0.0,0.0,0.982875026364069,0.75,0.0,0.5854503999998997,20033,15.0,200,0.006480272389362405
0.0,1.0,0.0,0.012345679012345678,1.0,63.0,0.0,1.0,3.9375,3.9375,2.0,2.0,1.0,0.2625,1.0,0.46055214356153246,0.0,18.0,1.0,3.3407960199004973,53.45273631840796,0.26119402985074625,3.3407960199004973,0.7388059701492538,0.7325870646766169,1.3482587064676617,1.3980099502487562,1.8656716417910448,0.22271973466003317,7.7195787943777,960.0,60.0,0.472636815920398,0.19745179711436847,alf,0.02194428686356834,36.0,16,0.0,0.0,0.0,0.8518695807613187,0.8125,0.0,0.5539396999993187,20034,15.0,200,0.028664616877763484
