bootstrap_unit,ci95_high,ci95_low,comparison,density,geometry,median_difference,metric,n_agents,n_pairs,paired_mean_difference,positive_fraction
shared held-out evaluation seed,-0.08451155679933668,-0.1971087271973466,fixed_r_retained - ALF,0.0123,clustered,-0.05348258706467662,mean_fragmentation,16,30,-0.1376762023217247,0.03333333333333333
shared held-out evaluation seed,0.2880607379767828,0.16136971393034824,fixed_r_retained - ALF,0.0123,clustered,0.2064676616915423,mean_largest_scc_fraction,16,30,0.2222118573797678,0.8666666666666667
shared held-out evaluation seed,1.9714246475953567,1.5865617226368156,fixed_r_retained - ALF,0.0123,clustered,1.8115671641791047,mean_degree,16,30,1.7801927860696518,1.0
shared held-out evaluation seed,0.8896303592939113,-0.02018099541678016,fixed_r_retained - ALF,0.0123,clustered,0.13273631067300318,degree_variance,16,30,0.4324329102053992,0.5666666666666667
shared held-out evaluation seed,-0.0023942947304922105,-0.003216352567871475,fixed_r_retained - ALF,0.0123,clustered,-0.0025301030230429076,radius_temporal_variation,16,30,-0.0027902513164837915,0.0
shared held-out evaluation seed,-0.0011250000000000001,-0.0023020833333333335,fixed_r_retained - ALF,0.0123,clustered,-0.001875,contact_break_rate,16,30,-0.0016979166666666668,0.13333333333333333
shared held-out evaluation seed,-0.00109375,-0.0022606770833333333,fixed_r_retained - ALF,0.0123,clustered,-0.001875,neighbor_loss_rate,16,30,-0.0016770833333333334,0.13333333333333333
shared held-out evaluation seed,0.9603651015754561,0.9236613805970149,fixed_r_retained - ALF,0.0123,clustered,0.9375,radius_max_saturation_fraction,16,30,0.9419568822553898,1.0
shared held-out evaluation seed,-0.13333333333333333,-0.43333333333333335,fixed_r_retained - ALF,0.0123,clustered,0.0,episode_failure,16,30,-0.26666666666666666,0.0
shared held-out evaluation seed,4.606012697897863e-05,2.1645070624871227e-05,fixed_r_retained - ALF,0.0123,clustered,2.6968484374947368e-05,controller_wall_s_per_agent_step,16,30,3.32183447915592e-05,0.8666666666666667
shared held-out evaluation seed,0.0375,-0.025,crdf - ALF,0.0204,uniform,0.0,final_fragmentation,16,30,0.004166666666666667,0.03333333333333333
shared held-out evaluation seed,0.03715200041459367,0.0036686359867330012,crdf - ALF,0.0204,uniform,0.0,mean_fragmentation,16,30,0.01753731343283582,0.3
shared held-out evaluation seed,-0.09886867744610282,-0.18100590796019903,crdf - ALF,0.0204,uniform,-0.1175373134328358,mean_largest_scc_fraction,16,30,-0.13968698175787728,0.0
shared held-out evaluation seed,-0.7666446413764512,-0.9828277881426202,crdf - ALF,0.0204,uniform,-0.855721393034826,mean_degree,16,30,-0.8694548092868988,0.0
shared held-out evaluation seed,-0.9985209652626947,-1.4537095708297751,crdf - ALF,0.0204,uniform,-1.1932544213014529,degree_variance,16,30,-1.2213265109722944,0.0
shared held-out evaluation seed,0.029837792753724123,0.024319074665459836,crdf - ALF,0.0204,uniform,0.02592017284658204,radius_temporal_variation,16,30,0.027057088158265238,1.0
shared held-out evaluation seed,0.003395833333333333,0.0025,crdf - ALF,0.0204,uniform,0.00296875,contact_break_rate,16,30,0.0029375,1.0
shared held-out evaluation seed,0.0033541666666666668,0.0024375,crdf - ALF,0.0204,uniform,0.00296875,neighbor_loss_rate,16,30,0.0028854166666666668,1.0
shared held-out evaluation seed,-0.6235574730514096,-0.7294221600331675,crdf - ALF,0.0204,uniform,-0.6840796019900497,radius_max_saturation_fraction,16,30,-0.6760364842454395,0.0
shared held-out evaluation seed,0.1,-0.1,crdf - ALF,0.0204,uniform,0.0,episode_failure,16,30,0.0,0.03333333333333333
