density_ratio,rho,domain_side,policy,seed,frag_final,frag_mean,largest_scc_final,scc_final_frac,n_components_final,lambda2_final,min_degree_final,mean_degree,mean_radius,min_radius,max_radius,ju_applied,ju_commanded,ju_jerk,sat_fraction,order_tail,dispersion_tail,min_pair_dist,collision_events,collision_pairs,finite,wall_time_s
4.0000,0.01119058,6.9886,ctrl,71012,0,0,1,1,1,13,13,13.007437,8,8,8,0.89162265,0.89162265,0.002870172,0,0.81374142,3.4246558,0.61734538,3,1,1,1.006
4.0000,0.01119058,6.9886,alf,71013,0,0,1,1,1,2.675294,5,7.3449063,5.5053129,4,6.9282032,0.22476503,0.22476503,0.0012745084,0,0.7699781,4.013884,1.3257175,0,0,1,1.057
4.0000,0.01119058,6.9886,ctrl,71013,0,0,1,1,1,14,14,14.645125,8,8,8,0.6433829,0.6433829,0.00069926446,0,0.83176615,3.0426771,1.2128788,0,0,1,0.976
4.0000,0.01119058,6.9886,alf,71014,0,0,1,1,1,3.4851668,4,6.2576875,4.9031074,4.0000114,6.9282032,0.067504182,0.067504182,0.0010998109,0,0.77622095,3.998801,0.61080059,3,1,1,1.053
4.0000,0.01119058,6.9886,ctrl,71014,0,0,1,1,1,16,15,14.883125,8,8,8,0.31308709,0.31308709,0.00062594057,0,0.84248507,2.8716801,0.61080059,3,1,1,1.029
4.0000,0.01119058,6.9886,alf,71015,0,0,1,1,1,2.2965439,4,6.6987188,4.9851555,4,6.9282032,0.092807069,0.092807069,0.00088540737,0,0.71857473,3.8627561,1.1772306,0,0,1,0.576
4.0000,0.01119058,6.9886,ctrl,71015,0,0,1,1,1,16,15,14.91975,8,8,8,0.2625692,0.2625692,0.0004855854,0,0.8901728,2.7806584,1.1772306,0,0,1,1.237
4.0000,0.01119058,6.9886,alf,71016,0,0,1,1,1,2.2186574,4,6.2329688,4.9152834,3.4641016,6.6540883,0.16779981,0.16779981,0.00160702,0,0.76580992,3.8055966,0.97463765,0,0,1,1.120
4.0000,0.01119058,6.9886,ctrl,71016,0,0,1,1,1,16,15,14.804187,8,8,8,0.2671264,0.2671264,0.00067460706,0,0.88608183,2.8026293,0.97463765,0,0,1,1.104
4.0000,0.01119058,6.9886,alf,71017,0,0,1,1,1,2.0019222,4,6.3419063,4.8827651,4,5.6568542,0.10106559,0.10106559,0.00091710657,0,0.67675318,3.9369063,0.76372437,0,0,1,1.098
4.0000,0.01119058,6.9886,ctrl,71017,0,0,1,1,1,16,15,14.702312,8,8,8,0.48413301,0.48413301,0.00090233755,0,0.91318303,3.0373252,0.76372437,0,0,1,1.063
4.0000,0.01119058,6.9886,alf,71018,0,0,1,1,1,2.5178958,5,6.1893125,4.8894957,3.7032804,5.6568542,0.073052411,0.073052411,0.0012069176,0,0.72160744,3.8248797,0.68754602,1,1,1,1.078
