command_clip_fraction_mean,contact_break_rate_mean,controller_wall_s_per_agent_step_mean,count_threshold_crossing_rate_mean,density,geometry,mean_abs_command_update_mean,mean_abs_radius_update_mean,mean_fragmentation_mean,mean_largest_scc_fraction_mean,method,n_agents,n_episodes,neighbor_loss_rate_mean,radius_max_saturation_fraction_mean
0.001921641791044776,0.010740624999999998,0.00010237946921610662,0.01950625,0.05,clustered,0.7459165305216788,0.0036201129203124243,0.19200559701492537,0.7530441542288557,crmf,32,50,0.010159375,9.328358208955224e-06
0.0029664179104477613,0.006975,0.0001041929822759977,0.027606250000000002,0.05,elongated,0.9190415234274257,0.003941715356032907,0.03927549751243781,0.8934919154228855,crmf,32,50,0.0065249999999999996,1.554726368159204e-05
0.056856343283582085,0.004959374999999999,0.00010092201803458287,0.01886875,0.05,uniform,1.1438399687238618,0.004422071348338831,0.0,0.9994527363184079,crmf,32,50,0.00471875,0.04220771144278607
0.011103855721393035,0.015546875,0.00010212585354496248,0.017778125,0.08,clustered,0.5811607083929659,0.0040990029952547415,0.18231965174129353,0.7675621890547264,crmf,32,50,0.014871875,0.0
0.000945273631840796,0.010049999999999998,8.0677935323097e-05,0.023987500000000002,0.08,elongated,0.7607196205688621,0.004068624169156297,0.02498445273631841,0.902235696517413,crmf,32,50,0.00936875,3.109452736318408e-06
0.0009919154228855722,0.007296875,0.0001037441343282525,0.020274999999999998,0.08,uniform,0.9557054849890393,0.0040909660851386745,0.0,1.0,crmf,32,50,0.006875,0.0004695273631840796
0.06656716417910448,0.01974375,8.614986784783101e-05,0.019671875000000002,0.12,clustered,0.47731528662201356,0.004578171431961722,0.1482245024875622,0.802450248756219,crmf,32,50,0.019065625,0.0
0.00857587064676617,0.013040624999999998,8.403953638064796e-05,0.0224375,0.12,elongated,0.6307106632033459,0.0042453277935383124,0.025758706467661693,0.9222201492537313,crmf,32,50,0.0122625,0.0
7.151741293532337e-05,0.006078125,8.509559888038757e-05,0.018078125,0.12,uniform,0.7817789188640344,0.002804665394900446,0.0,0.9994465174129352,crmf,32,50,0.005396875,7.151741293532337e-05
0.8106125621890548,0.030571875,0.00010009628202735158,0.000546875,0.05,clustered,0.6749954205748342,0.010340267424765825,0.32825248756218905,0.44968594527363187,fpcm,32,50,0.030059375,0.001875
0.7045180348258707,0.02736875,9.717440267375772e-05,0.000890625,0.05,elongated,1.3253882913654047,0.01217537211015195,0.19294465174129352,0.4265360696517413,fpcm,32,50,0.026928125,0.0021921641791044777
0.9407338308457711,0.001825,0.0001010317512438929,0.00015625,0.05,uniform,0.3611178870469221,0.007274955124524675,0.0,0.9908022388059702,fpcm,32,50,0.0016156249999999999,0.286875
0.9024906716417911,0.031965625000000004,9.923862842060544e-05,0.00021874999999999998,0.08,clustered,0.1339749775807162,0.008319439439953443,0.39869092039800996,0.5617941542288557,fpcm,32,50,0.031471874999999996,0.0
