bootstrap_unit,ci95_high,ci95_low,density,effect,geometry,holm_adjusted_pvalue,holm_family,median_difference,metric,n_agents,n_pairs,paired_mean_difference,positive_fraction,scope,sign_consistency,sign_flip_pvalue
shared held-out evaluation seed,-0.006218281250000002,-0.009037656250000001,0.0204,aperture_base_interaction,clustered,nan,none_cellwise,-0.00671875,contact_break_rate,16,50,-0.00760625,0.02,cell,0.98,0.0001999600079984003
shared held-out evaluation seed,-0.006149843750000002,-0.0091125,0.0204,requested_measurement_did,clustered,nan,none_cellwise,-0.00671875,contact_break_rate,16,50,-0.00760625,0.02,cell,0.98,0.0001999600079984003
shared held-out evaluation seed,-0.0061937500000000005,-0.009019218749999999,0.0204,requested_base_did,clustered,nan,none_cellwise,-0.00671875,contact_break_rate,16,50,-0.00760625,0.02,cell,0.98,0.0001999600079984003
shared held-out evaluation seed,0.032096237562189045,-0.031445351368159215,0.0204,aperture_main_effect,clustered,nan,none_cellwise,0.0,mean_largest_scc_fraction,16,50,0.0014490049751243689,0.48,cell,0.62,0.9318136372725455
shared held-out evaluation seed,0.03037476679104477,-0.034437577736318406,0.0204,base_main_effect,clustered,nan,none_cellwise,0.0,mean_largest_scc_fraction,16,50,-0.0023320895522388,0.38,cell,0.62,0.8904219156168767
shared held-out evaluation seed,0.06862593283582084,-0.06265329601990051,0.0204,aperture_base_interaction,clustered,nan,none_cellwise,5.551115123125783e-17,mean_largest_scc_fraction,16,50,0.0026243781094527252,0.5,cell,0.64,0.936612677464507
shared held-out evaluation seed,0.0677874689054726,-0.05948973880597016,0.0204,requested_measurement_did,clustered,nan,none_cellwise,5.551115123125783e-17,mean_largest_scc_fraction,16,50,0.0026243781094527265,0.5,cell,0.64,0.9402119576084783
shared held-out evaluation seed,0.06529057835820892,-0.06185634328358209,0.0204,requested_base_did,clustered,nan,none_cellwise,5.551115123125783e-17,mean_largest_scc_fraction,16,50,0.0026243781094527287,0.5,cell,0.64,0.943011397720456
shared held-out evaluation seed,0.0011358765644521576,-0.0002258034114714939,0.0204,aperture_main_effect,elongated,nan,none_cellwise,0.0008140279560464921,mean_abs_radius_update,16,50,0.0004710994355255245,0.6,cell,0.6,0.1793641271745651
shared held-out evaluation seed,0.0018553834032138865,0.0004190924627185846,0.0204,base_main_effect,elongated,nan,none_cellwise,0.0014070016044475265,mean_abs_radius_update,16,50,0.0011492065565454903,0.72,cell,0.72,0.003599280143971206
shared held-out evaluation seed,-0.014872950253395738,-0.017216372974572448,0.0204,aperture_base_interaction,elongated,nan,none_cellwise,-0.016255198532243435,mean_abs_radius_update,16,50,-0.01608869064926253,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.014937315291659311,-0.0172706061631603,0.0204,requested_measurement_did,elongated,nan,none_cellwise,-0.016255198532243435,mean_abs_radius_update,16,50,-0.01608869064926253,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.014872430443452805,-0.017205139605643394,0.0204,requested_base_did,elongated,nan,none_cellwise,-0.016255198532243435,mean_abs_radius_update,16,50,-0.01608869064926253,0.0,cell,1.0,0.0001999600079984003
shared held-out evaluation seed,-0.0002999218750000004,-0.001812734375,0.0204,aperture_main_effect,elongated,nan,none_cellwise,0.0,contact_break_rate,16,50,-0.0010531249999999998,0.46,cell,0.54,0.008998200359928014
shared held-out evaluation seed,0.0010531249999999998,-0.00047812500000000003,0.0204,base_main_effect,elongated,nan,none_cellwise,-0.00046875,contact_break_rate,16,50,0.000271875,0.38,cell,0.62,0.4959008198360328
shared held-out evaluation seed,-0.0031309375000000018,-0.00580640625,0.0204,aperture_base_interaction,elongated,nan,none_cellwise,-0.00296875,contact_break_rate,16,50,-0.00440625,0.12,cell,0.88,0.0001999600079984003
shared held-out evaluation seed,-0.003143281250000002,-0.00578140625,0.0204,requested_measurement_did,elongated,nan,none_cellwise,-0.00296875,contact_break_rate,16,50,-0.00440625,0.14,cell,0.86,0.0001999600079984003
shared held-out evaluation seed,-0.003137187500000002,-0.00568765625,0.0204,requested_base_did,elongated,nan,none_cellwise,-0.0029687500000000005,contact_break_rate,16,50,-0.00440625,0.12,cell,0.88,0.0001999600079984003
